key_id,year,tournament_name,stage_number,stage_name,group_name,position,team_id,team,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced,brazil,argentina,france,mexico,USA
16,1950,1950 FIFA Men's World Cup,1,first round,Group 1,3,T-75,Switzerland,CHE,3,1,1,1,4,6,-2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,1950,1950 FIFA Men's World Cup,1,first round,Group 1,4,T-46,Mexico,MEX,3,0,0,3,2,10,-8,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,1950,1950 FIFA Men's World Cup,1,first round,Group 2,1,T-73,Spain,ESP,3,3,0,0,6,1,5,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19,1950,1950 FIFA Men's World Cup,1,first round,Group 2,2,T-28,England,ENG,3,1,0,2,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,1950,1950 FIFA Men's World Cup,1,first round,Group 2,3,T-13,Chile,CHL,3,1,0,2,5,6,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,1950,1950 FIFA Men's World Cup,1,first round,Group 2,4,T-83,United States,USA,3,1,0,2,4,8,-4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
22,1950,1950 FIFA Men's World Cup,1,first round,Group 3,1,T-74,Sweden,SWE,2,1,1,0,5,4,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,1950,1950 FIFA Men's World Cup,1,first round,Group 3,2,T-41,Italy,ITA,2,1,0,1,4,3,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,1950,1950 FIFA Men's World Cup,1,first round,Group 3,3,T-55,Paraguay,PRY,2,0,1,1,2,4,-2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,1950,1950 FIFA Men's World Cup,1,first round,Group 4,1,T-84,Uruguay,URY,1,1,0,0,8,0,8,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,1950,1950 FIFA Men's World Cup,1,first round,Group 4,2,T-07,Bolivia,BOL,1,0,0,1,0,8,-8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,1950,1950 FIFA Men's World Cup,2,final round,Group 1,1,T-84,Uruguay,URY,3,2,1,0,7,5,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28,1950,1950 FIFA Men's World Cup,2,final round,Group 1,2,T-09,Brazil,BRA,3,2,0,1,14,4,10,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
29,1950,1950 FIFA Men's World Cup,2,final round,Group 1,3,T-74,Sweden,SWE,3,1,0,2,6,11,-5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,1950,1950 FIFA Men's World Cup,2,final round,Group 1,4,T-73,Spain,ESP,3,0,1,2,4,11,-7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,1954,1954 FIFA Men's World Cup,1,group stage,Group 1,1,T-09,Brazil,BRA,2,1,1,0,6,1,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
32,1954,1954 FIFA Men's World Cup,1,group stage,Group 1,2,T-87,Yugoslavia,YUG,2,1,1,0,2,1,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
33,1954,1954 FIFA Men's World Cup,1,group stage,Group 1,3,T-30,France,FRA,2,1,0,1,3,3,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
34,1954,1954 FIFA Men's World Cup,1,group stage,Group 1,4,T-46,Mexico,MEX,2,0,0,2,2,8,-6,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
35,1954,1954 FIFA Men's World Cup,1,group stage,Group 2,1,T-36,Hungary,HUN,2,2,0,0,17,3,14,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,1954,1954 FIFA Men's World Cup,1,group stage,Group 2,2,T-86,West Germany,DEU,2,1,0,1,7,9,-2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37,1954,1954 FIFA Men's World Cup,1,group stage,Group 2,3,T-80,Turkey,TUR,2,1,0,1,8,4,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,1954,1954 FIFA Men's World Cup,1,group stage,Group 2,4,T-71,South Korea,KOR,2,0,0,2,0,16,-16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,1954,1954 FIFA Men's World Cup,1,group stage,Group 3,1,T-84,Uruguay,URY,2,2,0,0,9,0,9,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40,1954,1954 FIFA Men's World Cup,1,group stage,Group 3,2,T-05,Austria,AUT,2,2,0,0,6,0,6,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41,1954,1954 FIFA Men's World Cup,1,group stage,Group 3,3,T-21,Czechoslovakia,CSK,2,0,0,2,0,7,-7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,1954,1954 FIFA Men's World Cup,1,group stage,Group 3,4,T-64,Scotland,SCO,2,0,0,2,0,8,-8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,1954,1954 FIFA Men's World Cup,1,group stage,Group 4,1,T-28,England,ENG,2,1,1,0,6,4,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
44,1954,1954 FIFA Men's World Cup,1,group stage,Group 4,2,T-75,Switzerland,CHE,2,1,0,1,2,3,-1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,1954,1954 FIFA Men's World Cup,1,group stage,Group 4,3,T-41,Italy,ITA,2,1,0,1,5,3,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,1954,1954 FIFA Men's World Cup,1,group stage,Group 4,4,T-06,Belgium,BEL,2,0,1,1,5,8,-3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,1958,1958 FIFA Men's World Cup,1,group stage,Group 1,1,T-86,West Germany,DEU,3,1,2,0,7,5,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
48,1958,1958 FIFA Men's World Cup,1,group stage,Group 1,2,T-52,Northern Ireland,NIR,3,1,1,1,4,5,-1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
49,1958,1958 FIFA Men's World Cup,1,group stage,Group 1,3,T-21,Czechoslovakia,CSK,3,1,1,1,8,4,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,1958,1958 FIFA Men's World Cup,1,group stage,Group 1,4,T-03,Argentina,ARG,3,1,0,2,5,10,-5,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
51,1958,1958 FIFA Men's World Cup,1,group stage,Group 2,1,T-30,France,FRA,3,2,0,1,11,7,4,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
52,1958,1958 FIFA Men's World Cup,1,group stage,Group 2,2,T-87,Yugoslavia,YUG,3,1,2,0,7,6,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53,1958,1958 FIFA Men's World Cup,1,group stage,Group 2,3,T-55,Paraguay,PRY,3,1,1,1,9,12,-3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,1958,1958 FIFA Men's World Cup,1,group stage,Group 2,4,T-64,Scotland,SCO,3,0,1,2,4,6,-2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,1958,1958 FIFA Men's World Cup,1,group stage,Group 3,1,T-74,Sweden,SWE,3,2,1,0,5,1,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
56,1958,1958 FIFA Men's World Cup,1,group stage,Group 3,2,T-85,Wales,WAL,3,0,3,0,2,2,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
57,1958,1958 FIFA Men's World Cup,1,group stage,Group 3,3,T-36,Hungary,HUN,3,1,1,1,6,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,1958,1958 FIFA Men's World Cup,1,group stage,Group 3,4,T-46,Mexico,MEX,3,0,1,2,1,8,-7,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
59,1958,1958 FIFA Men's World Cup,1,group stage,Group 4,1,T-09,Brazil,BRA,3,2,1,0,5,0,5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
60,1958,1958 FIFA Men's World Cup,1,group stage,Group 4,2,T-72,Soviet Union,SUN,3,1,1,1,4,4,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
61,1958,1958 FIFA Men's World Cup,1,group stage,Group 4,3,T-28,England,ENG,3,0,3,0,4,4,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,1958,1958 FIFA Men's World Cup,1,group stage,Group 4,4,T-05,Austria,AUT,3,0,1,2,2,7,-5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,1962,1962 FIFA Men's World Cup,1,group stage,Group 1,1,T-72,Soviet Union,SUN,3,2,1,0,8,5,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
64,1962,1962 FIFA Men's World Cup,1,group stage,Group 1,2,T-87,Yugoslavia,YUG,3,2,0,1,8,3,5,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
65,1962,1962 FIFA Men's World Cup,1,group stage,Group 1,3,T-84,Uruguay,URY,3,1,0,2,4,6,-2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,1962,1962 FIFA Men's World Cup,1,group stage,Group 1,4,T-16,Colombia,COL,3,0,1,2,5,11,-6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,1962,1962 FIFA Men's World Cup,1,group stage,Group 2,1,T-86,West Germany,DEU,3,2,1,0,4,1,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
68,1962,1962 FIFA Men's World Cup,1,group stage,Group 2,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
69,1962,1962 FIFA Men's World Cup,1,group stage,Group 2,3,T-41,Italy,ITA,3,1,1,1,3,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,1962,1962 FIFA Men's World Cup,1,group stage,Group 2,4,T-75,Switzerland,CHE,3,0,0,3,2,8,-6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,1962,1962 FIFA Men's World Cup,1,group stage,Group 3,1,T-09,Brazil,BRA,3,2,1,0,4,1,3,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
72,1962,1962 FIFA Men's World Cup,1,group stage,Group 3,2,T-21,Czechoslovakia,CSK,3,1,1,1,2,3,-1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
73,1962,1962 FIFA Men's World Cup,1,group stage,Group 3,3,T-46,Mexico,MEX,3,1,0,2,3,4,-1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
74,1962,1962 FIFA Men's World Cup,1,group stage,Group 3,4,T-73,Spain,ESP,3,1,0,2,2,3,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,1962,1962 FIFA Men's World Cup,1,group stage,Group 4,1,T-36,Hungary,HUN,3,2,1,0,8,2,6,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
76,1962,1962 FIFA Men's World Cup,1,group stage,Group 4,2,T-28,England,ENG,3,1,1,1,4,3,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77,1962,1962 FIFA Men's World Cup,1,group stage,Group 4,3,T-03,Argentina,ARG,3,1,1,1,2,3,-1,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
78,1962,1962 FIFA Men's World Cup,1,group stage,Group 4,4,T-10,Bulgaria,BGR,3,0,1,2,1,7,-6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,1966,1966 FIFA Men's World Cup,1,group stage,Group 1,1,T-28,England,ENG,3,2,1,0,4,0,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80,1966,1966 FIFA Men's World Cup,1,group stage,Group 1,2,T-84,Uruguay,URY,3,1,2,0,2,1,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
81,1966,1966 FIFA Men's World Cup,1,group stage,Group 1,3,T-46,Mexico,MEX,3,0,2,1,1,3,-2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
82,1966,1966 FIFA Men's World Cup,1,group stage,Group 1,4,T-30,France,FRA,3,0,1,2,2,5,-3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
83,1966,1966 FIFA Men's World Cup,1,group stage,Group 2,1,T-86,West Germany,DEU,3,2,1,0,7,1,6,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
84,1966,1966 FIFA Men's World Cup,1,group stage,Group 2,2,T-03,Argentina,ARG,3,2,1,0,4,1,3,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
85,1966,1966 FIFA Men's World Cup,1,group stage,Group 2,3,T-73,Spain,ESP,3,1,0,2,4,5,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,1966,1966 FIFA Men's World Cup,1,group stage,Group 2,4,T-75,Switzerland,CHE,3,0,0,3,1,9,-8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,1966,1966 FIFA Men's World Cup,1,group stage,Group 3,1,T-58,Portugal,PRT,3,3,0,0,9,2,7,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
88,1966,1966 FIFA Men's World Cup,1,group stage,Group 3,2,T-36,Hungary,HUN,3,2,0,1,7,5,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
89,1966,1966 FIFA Men's World Cup,1,group stage,Group 3,3,T-09,Brazil,BRA,3,1,0,2,4,6,-2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
90,1966,1966 FIFA Men's World Cup,1,group stage,Group 3,4,T-10,Bulgaria,BGR,3,0,0,3,1,8,-7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,1966,1966 FIFA Men's World Cup,1,group stage,Group 4,1,T-72,Soviet Union,SUN,3,3,0,0,6,1,5,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
92,1966,1966 FIFA Men's World Cup,1,group stage,Group 4,2,T-51,North Korea,PRK,3,1,1,1,2,4,-2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
93,1966,1966 FIFA Men's World Cup,1,group stage,Group 4,3,T-41,Italy,ITA,3,1,0,2,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,1966,1966 FIFA Men's World Cup,1,group stage,Group 4,4,T-13,Chile,CHL,3,0,1,2,2,5,-3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,1970,1970 FIFA Men's World Cup,1,group stage,Group 1,1,T-72,Soviet Union,SUN,3,2,1,0,6,1,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
96,1970,1970 FIFA Men's World Cup,1,group stage,Group 1,2,T-46,Mexico,MEX,3,2,1,0,5,0,5,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
97,1970,1970 FIFA Men's World Cup,1,group stage,Group 1,3,T-06,Belgium,BEL,3,1,0,2,4,5,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,1970,1970 FIFA Men's World Cup,1,group stage,Group 1,4,T-27,El Salvador,SLV,3,0,0,3,0,9,-9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,1970,1970 FIFA Men's World Cup,1,group stage,Group 2,1,T-41,Italy,ITA,3,1,2,0,1,0,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100,1970,1970 FIFA Men's World Cup,1,group stage,Group 2,2,T-84,Uruguay,URY,3,1,1,1,2,1,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
101,1970,1970 FIFA Men's World Cup,1,group stage,Group 2,3,T-74,Sweden,SWE,3,1,1,1,2,2,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,1970,1970 FIFA Men's World Cup,1,group stage,Group 2,4,T-40,Israel,ISR,3,0,2,1,1,3,-2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,1970,1970 FIFA Men's World Cup,1,group stage,Group 3,1,T-09,Brazil,BRA,3,3,0,0,8,3,5,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
104,1970,1970 FIFA Men's World Cup,1,group stage,Group 3,2,T-28,England,ENG,3,2,0,1,2,1,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,1970,1970 FIFA Men's World Cup,1,group stage,Group 3,3,T-61,Romania,ROU,3,1,0,2,4,5,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,1970,1970 FIFA Men's World Cup,1,group stage,Group 3,4,T-21,Czechoslovakia,CSK,3,0,0,3,2,7,-5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,1970,1970 FIFA Men's World Cup,1,group stage,Group 4,1,T-86,West Germany,DEU,3,3,0,0,10,4,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
108,1970,1970 FIFA Men's World Cup,1,group stage,Group 4,2,T-56,Peru,PER,3,2,0,1,7,5,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
109,1970,1970 FIFA Men's World Cup,1,group stage,Group 4,3,T-10,Bulgaria,BGR,3,0,1,2,5,9,-4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,1970,1970 FIFA Men's World Cup,1,group stage,Group 4,4,T-47,Morocco,MAR,3,0,1,2,2,6,-4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,1,T-24,East Germany,DDR,3,2,1,0,4,1,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
112,1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,2,T-86,West Germany,DEU,3,2,0,1,4,1,3,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
113,1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,3,T-13,Chile,CHL,3,0,2,1,1,2,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,4,T-04,Australia,AUS,3,0,1,2,0,5,-5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,1,T-87,Yugoslavia,YUG,3,1,2,0,10,1,9,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
116,1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,2,T-09,Brazil,BRA,3,1,2,0,3,0,3,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
117,1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,3,T-64,Scotland,SCO,3,1,2,0,3,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,4,T-88,Zaire,COD,3,0,0,3,0,14,-14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,1,T-48,Netherlands,NLD,3,2,1,0,6,1,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
120,1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,2,T-74,Sweden,SWE,3,1,2,0,3,0,3,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
121,1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,3,T-10,Bulgaria,BGR,3,0,2,1,2,5,-3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,4,T-84,Uruguay,URY,3,0,1,2,1,6,-5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,1,T-57,Poland,POL,3,3,0,0,12,3,9,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
124,1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,2,T-03,Argentina,ARG,3,1,1,1,7,5,2,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
125,1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,3,T-41,Italy,ITA,3,1,1,1,5,4,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,4,T-34,Haiti,HTI,3,0,0,3,2,14,-12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,1974,1974 FIFA Men's World Cup,2,second group stage,Group A,1,T-48,Netherlands,NLD,3,3,0,0,8,0,8,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
128,1974,1974 FIFA Men's World Cup,2,second group stage,Group A,2,T-09,Brazil,BRA,3,2,0,1,3,3,0,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
129,1974,1974 FIFA Men's World Cup,2,second group stage,Group A,3,T-24,East Germany,DDR,3,0,1,2,1,4,-3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,1974,1974 FIFA Men's World Cup,2,second group stage,Group A,4,T-03,Argentina,ARG,3,0,1,2,2,7,-5,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
131,1974,1974 FIFA Men's World Cup,2,second group stage,Group B,1,T-86,West Germany,DEU,3,3,0,0,7,2,5,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
132,1974,1974 FIFA Men's World Cup,2,second group stage,Group B,2,T-57,Poland,POL,3,2,0,1,3,2,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
133,1974,1974 FIFA Men's World Cup,2,second group stage,Group B,3,T-74,Sweden,SWE,3,1,0,2,4,6,-2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134,1974,1974 FIFA Men's World Cup,2,second group stage,Group B,4,T-87,Yugoslavia,YUG,3,0,0,3,2,6,-4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,1,T-41,Italy,ITA,3,3,0,0,6,2,4,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
136,1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,2,T-03,Argentina,ARG,3,2,0,1,4,3,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
137,1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,3,T-30,France,FRA,3,1,0,2,5,5,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
138,1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,4,T-36,Hungary,HUN,3,0,0,3,3,8,-5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
139,1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,1,T-57,Poland,POL,3,2,1,0,4,1,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
140,1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,2,T-86,West Germany,DEU,3,1,2,0,6,0,6,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
141,1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,3,T-79,Tunisia,TUN,3,1,1,1,3,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,4,T-46,Mexico,MEX,3,0,0,3,2,12,-10,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
143,1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,1,T-05,Austria,AUT,3,2,0,1,3,2,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
144,1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,2,T-09,Brazil,BRA,3,1,2,0,2,1,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
145,1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,3,T-73,Spain,ESP,3,1,1,1,2,2,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146,1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,4,T-74,Sweden,SWE,3,0,1,2,1,3,-2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147,1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,1,T-56,Peru,PER,3,2,1,0,7,2,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
148,1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,2,T-48,Netherlands,NLD,3,1,1,1,5,3,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
149,1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,3,T-64,Scotland,SCO,3,1,1,1,5,6,-1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
