skips,solder,size,Mask,PadType,Panel
1,thick,medium,A1.5,D7,1
0,thick,medium,A1.5,D7,2
1,thick,medium,A1.5,D7,3
1,thick,medium,A1.5,L7,1
0,thick,medium,A1.5,L7,2
0,thick,medium,A1.5,L7,3
0,thick,medium,A1.5,L8,1
0,thick,medium,A1.5,L8,2
1,thick,medium,A1.5,L8,3
0,thick,medium,A1.5,W9,1
0,thick,medium,A1.5,W9,2
0,thick,medium,A1.5,W9,3
0,thick,medium,A1.5,L9,1
0,thick,medium,A1.5,L9,2
1,thick,medium,A1.5,L9,3
1,thick,medium,A3,W4,1
3,thick,medium,A3,W4,2
0,thick,medium,A3,W4,3
0,thick,medium,A3,D4,1
0,thick,medium,A3,D4,2
0,thick,medium,A3,D4,3
3,thick,medium,A3,L4,1
5,thick,medium,A3,L4,2
2,thick,medium,A3,L4,3
0,thick,medium,A3,D6,1
0,thick,medium,A3,D6,2
0,thick,medium,A3,D6,3
0,thick,medium,A3,L6,1
1,thick,medium,A3,L6,2
0,thick,medium,A3,L6,3
0,thick,medium,A3,D7,1
1,thick,medium,A3,D7,2
0,thick,medium,A3,D7,3
0,thick,medium,A3,L7,1
1,thick,medium,A3,L7,2
2,thick,medium,A3,L7,3
1,thick,medium,A3,L8,1
0,thick,medium,A3,L8,2
1,thick,medium,A3,L8,3
2,thick,medium,A3,W9,1
1,thick,medium,A3,W9,2
0,thick,medium,A3,W9,3
0,thick,medium,A3,L9,1
0,thick,medium,A3,L9,2
2,thick,medium,A3,L9,3
6,thick,medium,A6,W4,1
4,thick,medium,A6,W4,2
7,thick,medium,A6,W4,3
13,thick,medium,A6,D4,1
9,thick,medium,A6,D4,2
8,thick,medium,A6,D4,3
19,thick,medium,A6,L4,1
21,thick,medium,A6,L4,2
22,thick,medium,A6,L4,3
12,thick,medium,A6,D6,1
2,thick,medium,A6,D6,2
8,thick,medium,A6,D6,3
10,thick,medium,A6,L6,1
6,thick,medium,A6,L6,2
7,thick,medium,A6,L6,3
14,thick,medium,A6,D7,1
7,thick,medium,A6,D7,2
11,thick,medium,A6,D7,3
8,thick,medium,A6,L7,1
10,thick,medium,A6,L7,2
12,thick,medium,A6,L7,3
11,thick,medium,A6,L8,1
9,thick,medium,A6,L8,2
12,thick,medium,A6,L8,3
1,thick,medium,A6,W9,1
5,thick,medium,A6,W9,2
1,thick,medium,A6,W9,3
7,thick,medium,A6,L9,1
4,thick,medium,A6,L9,2
14,thick,medium,A6,L9,3
0,thick,medium,B3,W4,1
1,thick,medium,B3,W4,2
0,thick,medium,B3,W4,3
2,thick,medium,B3,D4,1
0,thick,medium,B3,D4,2
0,thick,medium,B3,D4,3
0,thick,medium,B3,L4,1
3,thick,medium,B3,L4,2
1,thick,medium,B3,L4,3
0,thick,medium,B3,D6,1
0,thick,medium,B3,D6,2
0,thick,medium,B3,D6,3
2,thick,medium,B3,L6,1
2,thick,medium,B3,L6,2
1,thick,medium,B3,L6,3
2,thick,medium,B3,D7,1
2,thick,medium,B3,D7,2
1,thick,medium,B3,D7,3
2,thick,medium,B3,L7,1
1,thick,medium,B3,L7,2
0,thick,medium,B3,L7,3
1,thick,medium,B3,L8,1
1,thick,medium,B3,L8,2
0,thick,medium,B3,L8,3
0,thick,medium,B3,W9,1
0,thick,medium,B3,W9,2
1,thick,medium,B3,W9,3
1,thick,medium,B3,L9,1
2,thick,medium,B3,L9,2
1,thick,medium,B3,L9,3
0,thick,medium,B6,W4,1
2,thick,medium,B6,W4,2
2,thick,medium,B6,W4,3
2,thick,medium,B6,D4,1
5,thick,medium,B6,D4,2
0,thick,medium,B6,D4,3
5,thick,medium,B6,L4,1
9,thick,medium,B6,L4,2
6,thick,medium,B6,L4,3
0,thick,medium,B6,D6,1
2,thick,medium,B6,D6,2
0,thick,medium,B6,D6,3
4,thick,medium,B6,L6,1
1,thick,medium,B6,L6,2
1,thick,medium,B6,L6,3
5,thick,medium,B6,D7,1
4,thick,medium,B6,D7,2
1,thick,medium,B6,D7,3
4,thick,medium,B6,L7,1
3,thick,medium,B6,L7,2
1,thick,medium,B6,L7,3
5,thick,medium,B6,L8,1
10,thick,medium,B6,L8,2
2,thick,medium,B6,L8,3
0,thick,medium,B6,W9,1
2,thick,medium,B6,W9,2
0,thick,medium,B6,W9,3
0,thick,medium,B6,L9,1
2,thick,medium,B6,L9,2
0,thick,medium,B6,L9,3
1,thick,small,A1.5,W4,1
0,thick,small,A1.5,W4,2
1,thick,small,A1.5,W4,3
1,thick,small,A1.5,D4,1
0,thick,small,A1.5,D4,2
1,thick,small,A1.5,D4,3
4,thick,small,A1.5,L4,1
3,thick,small,A1.5,L4,2
3,thick,small,A1.5,L4,3
0,thick,small,A1.5,D6,1
1,thick,small,A1.5,D6,2
0,thick,small,A1.5,D6,3
0,thick,small,A1.5,L6,1
1,thick,small,A1.5,L6,2
1,thick,small,A1.5,L6,3
2,thick,small,A1.5,D7,1
2,thick,small,A1.5,D7,2
2,thick,small,A1.5,D7,3
1,thick,small,A1.5,L7,1
0,thick,small,A1.5,L7,2
0,thick,small,A1.5,L7,3
1,thick,small,A1.5,L8,1
1,thick,small,A1.5,L8,2
4,thick,small,A1.5,L8,3
0,thick,small,A1.5,W9,1
0,thick,small,A1.5,W9,2
0,thick,small,A1.5,W9,3
1,thick,small,A1.5,L9,1
1,thick,small,A1.5,L9,2
1,thick,small,A1.5,L9,3
2,thick,small,A3,W4,1
2,thick,small,A3,W4,2
1,thick,small,A3,W4,3
2,thick,small,A3,D4,1
1,thick,small,A3,D4,2
0,thick,small,A3,D4,3
0,thick,small,A3,L4,1
3,thick,small,A3,L4,2
1,thick,small,A3,L4,3
0,thick,small,A3,D6,1
0,thick,small,A3,D6,2
2,thick,small,A3,D6,3
1,thick,small,A3,L6,1
1,thick,small,A3,L6,2
2,thick,small,A3,L6,3
0,thick,small,A3,D7,1
3,thick,small,A3,D7,2
2,thick,small,A3,D7,3
2,thick,small,A3,L7,1
1,thick,small,A3,L7,2
1,thick,small,A3,L7,3
1,thick,small,A3,L8,1
3,thick,small,A3,L8,2
4,thick,small,A3,L8,3
1,thick,small,A3,W9,1
0,thick,small,A3,W9,2
0,thick,small,A3,W9,3
0,thick,small,A3,L9,1
0,thick,small,A3,L9,2
0,thick,small,A3,L9,3
3,thick,small,A3,W4,1
5,thick,small,A3,W4,2
4,thick,small,A3,W4,3
0,thick,small,A3,D4,1
2,thick,small,A3,D4,2
5,thick,small,A3,D4,3
11,thick,small,A3,L4,1
5,thick,small,A3,L4,2
4,thick,small,A3,L4,3
2,thick,small,A3,D6,1
2,thick,small,A3,D6,2
2,thick,small,A3,D6,3
5,thick,small,A3,L6,1
6,thick,small,A3,L6,2
6,thick,small,A3,L6,3
4,thick,small,A3,D7,1
4,thick,small,A3,D7,2
10,thick,small,A3,D7,3
8,thick,small,A3,L7,1
7,thick,small,A3,L7,2
6,thick,small,A3,L7,3
7,thick,small,A3,L8,1
6,thick,small,A3,L8,2
8,thick,small,A3,L8,3
2,thick,small,A3,W9,1
1,thick,small,A3,W9,2
1,thick,small,A3,W9,3
0,thick,small,A3,L9,1
4,thick,small,A3,L9,2
4,thick,small,A3,L9,3
2,thick,small,B3,W4,1
6,thick,small,B3,W4,2
5,thick,small,B3,W4,3
9,thick,small,B3,D4,1
9,thick,small,B3,D4,2
10,thick,small,B3,D4,3
10,thick,small,B3,L4,1
14,thick,small,B3,L4,2
19,thick,small,B3,L4,3
2,thick,small,B3,D6,1
6,thick,small,B3,D6,2
6,thick,small,B3,D6,3
2,thick,small,B3,L6,1
2,thick,small,B3,L6,2
7,thick,small,B3,L6,3
7,thick,small,B3,D7,1
7,thick,small,B3,D7,2
10,thick,small,B3,D7,3
14,thick,small,B3,L7,1
8,thick,small,B3,L7,2
6,thick,small,B3,L7,3
9,thick,small,B3,L8,1
8,thick,small,B3,L8,2
8,thick,small,B3,L8,3
2,thick,small,B3,W9,1
1,thick,small,B3,W9,2
1,thick,small,B3,W9,3
3,thick,small,B3,L9,1
5,thick,small,B3,L9,2
6,thick,small,B3,L9,3
17,thick,small,B6,W4,1
10,thick,small,B6,W4,2
12,thick,small,B6,W4,3
9,thick,small,B6,D4,1
22,thick,small,B6,D4,2
18,thick,small,B6,D4,3
29,thick,small,B6,L4,1
30,thick,small,B6,L4,2
27,thick,small,B6,L4,3
13,thick,small,B6,D6,1
13,thick,small,B6,D6,2
19,thick,small,B6,D6,3
7,thick,small,B6,L6,1
14,thick,small,B6,L6,2
6,thick,small,B6,L6,3
13,thick,small,B6,D7,1
19,thick,small,B6,D7,2
19,thick,small,B6,D7,3
13,thick,small,B6,L7,1
21,thick,small,B6,L7,2
13,thick,small,B6,L7,3
14,thick,small,B6,L8,1
15,thick,small,B6,L8,2
11,thick,small,B6,L8,3
2,thick,small,B6,W9,1
5,thick,small,B6,W9,2
5,thick,small,B6,W9,3
10,thick,small,B6,L9,1
7,thick,small,B6,L9,2
8,thick,small,B6,L9,3
1,thin,large,A1.5,W4,1
1,thin,large,A1.5,W4,2
2,thin,large,A1.5,W4,3
1,thin,large,A1.5,D4,1
1,thin,large,A1.5,D4,2
0,thin,large,A1.5,D4,3
1,thin,large,A1.5,L4,1
1,thin,large,A1.5,L4,2
1,thin,large,A1.5,L4,3
1,thin,large,A1.5,D6,1
1,thin,large,A1.5,D6,2
1,thin,large,A1.5,D6,3
1,thin,large,A1.5,L6,1
0,thin,large,A1.5,L6,2
1,thin,large,A1.5,L6,3
1,thin,large,A1.5,D7,1
0,thin,large,A1.5,D7,2
2,thin,large,A1.5,D7,3
0,thin,large,A1.5,L7,1
1,thin,large,A1.5,L7,2
1,thin,large,A1.5,L7,3
1,thin,large,A1.5,L8,1
0,thin,large,A1.5,L8,2
0,thin,large,A1.5,L8,3
1,thin,large,A1.5,W9,1
2,thin,large,A1.5,W9,2
0,thin,large,A1.5,W9,3
0,thin,large,A1.5,L9,1
0,thin,large,A1.5,L9,2
2,thin,large,A1.5,L9,3
2,thin,large,A3,W4,1
0,thin,large,A3,W4,2
2,thin,large,A3,W4,3
1,thin,large,A3,D4,1
2,thin,large,A3,D4,2
1,thin,large,A3,D4,3
3,thin,large,A3,L4,1
6,thin,large,A3,L4,2
2,thin,large,A3,L4,3
0,thin,large,A3,D6,1
0,thin,large,A3,D6,2
2,thin,large,A3,D6,3
1,thin,large,A3,L6,1
1,thin,large,A3,L6,2
1,thin,large,A3,L6,3
0,thin,large,A3,D7,1
0,thin,large,A3,D7,2
2,thin,large,A3,D7,3
0,thin,large,A3,L7,1
2,thin,large,A3,L7,2
0,thin,large,A3,L7,3
0,thin,large,A3,L8,1
0,thin,large,A3,L8,2
0,thin,large,A3,L8,3
0,thin,large,A3,W9,1
0,thin,large,A3,W9,2
0,thin,large,A3,W9,3
1,thin,large,A3,L9,1
2,thin,large,A3,L9,2
0,thin,large,A3,L9,3
0,thin,large,A3,W4,1
2,thin,large,A3,W4,2
1,thin,large,A3,W4,3
0,thin,large,A3,D4,1
7,thin,large,A3,D4,2
8,thin,large,A3,D4,3
2,thin,large,A3,L4,1
2,thin,large,A3,L4,2
3,thin,large,A3,L4,3
0,thin,large,A3,D6,1
5,thin,large,A3,D6,2
3,thin,large,A3,D6,3
0,thin,large,A3,L6,1
0,thin,large,A3,L6,2
1,thin,large,A3,L6,3
1,thin,large,A3,D7,1
5,thin,large,A3,D7,2
5,thin,large,A3,D7,3
1,thin,large,A3,L7,1
0,thin,large,A3,L7,2
3,thin,large,A3,L7,3
1,thin,large,A3,L8,1
2,thin,large,A3,L8,2
2,thin,large,A3,L8,3
0,thin,large,A3,W9,1
2,thin,large,A3,W9,2
0,thin,large,A3,W9,3
0,thin,large,A3,L9,1
0,thin,large,A3,L9,2
4,thin,large,A3,L9,3
0,thin,large,B3,W4,1
1,thin,large,B3,W4,2
2,thin,large,B3,W4,3
0,thin,large,B3,D4,1
5,thin,large,B3,D4,2
5,thin,large,B3,D4,3
3,thin,large,B3,L4,1
9,thin,large,B3,L4,2
6,thin,large,B3,L4,3
3,thin,large,B3,D6,1
1,thin,large,B3,D6,2
1,thin,large,B3,D6,3
0,thin,large,B3,L6,1
4,thin,large,B3,L6,2
3,thin,large,B3,L6,3
0,thin,large,B3,D7,1
2,thin,large,B3,D7,2
5,thin,large,B3,D7,3
2,thin,large,B3,L7,1
2,thin,large,B3,L7,2
5,thin,large,B3,L7,3
1,thin,large,B3,L8,1
4,thin,large,B3,L8,2
3,thin,large,B3,L8,3
0,thin,large,B3,W9,1
1,thin,large,B3,W9,2
1,thin,large,B3,W9,3
0,thin,large,B3,L9,1
0,thin,large,B3,L9,2
0,thin,large,B3,L9,3
13,thin,large,B6,W4,1
11,thin,large,B6,W4,2
17,thin,large,B6,W4,3
4,thin,large,B6,D4,1
11,thin,large,B6,D4,2
15,thin,large,B6,D4,3
6,thin,large,B6,L4,1
17,thin,large,B6,L4,2
12,thin,large,B6,L4,3
3,thin,large,B6,D6,1
3,thin,large,B6,D6,2
7,thin,large,B6,D6,3
4,thin,large,B6,L6,1
6,thin,large,B6,L6,2
3,thin,large,B6,L6,3
7,thin,large,B6,D7,1
11,thin,large,B6,D7,2
10,thin,large,B6,D7,3
3,thin,large,B6,L7,1
3,thin,large,B6,L7,2
5,thin,large,B6,L7,3
5,thin,large,B6,L8,1
11,thin,large,B6,L8,2
9,thin,large,B6,L8,3
1,thin,large,B6,W9,1
0,thin,large,B6,W9,2
0,thin,large,B6,W9,3
7,thin,large,B6,L9,1
8,thin,large,B6,L9,2
4,thin,large,B6,L9,3
0,thin,medium,A1.5,W4,1
2,thin,medium,A1.5,W4,2
0,thin,medium,A1.5,W4,3
0,thin,medium,A1.5,D4,1
0,thin,medium,A1.5,D4,2
0,thin,medium,A1.5,D4,3
0,thin,medium,A1.5,L4,1
2,thin,medium,A1.5,L4,2
1,thin,medium,A1.5,L4,3
0,thin,medium,A1.5,D6,1
0,thin,medium,A1.5,D6,2
2,thin,medium,A1.5,D6,3
1,thin,medium,A1.5,L6,1
0,thin,medium,A1.5,L6,2
1,thin,medium,A1.5,L6,3
0,thin,medium,A1.5,D7,1
2,thin,medium,A1.5,D7,2
1,thin,medium,A1.5,D7,3
1,thin,medium,A1.5,L7,1
0,thin,medium,A1.5,L7,2
2,thin,medium,A1.5,L7,3
1,thin,medium,A1.5,L8,1
0,thin,medium,A1.5,L8,2
2,thin,medium,A1.5,L8,3
0,thin,medium,A1.5,W9,1
0,thin,medium,A1.5,W9,2
0,thin,medium,A1.5,W9,3
0,thin,medium,A1.5,L9,1
2,thin,medium,A1.5,L9,2
1,thin,medium,A1.5,L9,3
0,thin,medium,A3,W4,1
1,thin,medium,A3,W4,2
2,thin,medium,A3,W4,3
1,thin,medium,A3,D4,1
5,thin,medium,A3,D4,2
7,thin,medium,A3,D4,3
2,thin,medium,A3,L4,1
2,thin,medium,A3,L4,2
12,thin,medium,A3,L4,3
2,thin,medium,A3,D6,1
0,thin,medium,A3,D6,2
4,thin,medium,A3,D6,3
1,thin,medium,A3,L6,1
3,thin,medium,A3,L6,2
1,thin,medium,A3,L6,3
3,thin,medium,A3,D7,1
4,thin,medium,A3,D7,2
6,thin,medium,A3,D7,3
0,thin,medium,A3,L7,1
0,thin,medium,A3,L7,2
0,thin,medium,A3,L7,3
2,thin,medium,A3,L8,1
0,thin,medium,A3,L8,2
5,thin,medium,A3,L8,3
1,thin,medium,A3,W9,1
0,thin,medium,A3,W9,2
0,thin,medium,A3,W9,3
0,thin,medium,A3,L9,1
3,thin,medium,A3,L9,2
5,thin,medium,A3,L9,3
7,thin,medium,A6,W4,1
5,thin,medium,A6,W4,2
10,thin,medium,A6,W4,3
10,thin,medium,A6,D4,1
22,thin,medium,A6,D4,2
24,thin,medium,A6,D4,3
13,thin,medium,A6,L4,1
21,thin,medium,A6,L4,2
18,thin,medium,A6,L4,3
8,thin,medium,A6,D6,1
3,thin,medium,A6,D6,2
8,thin,medium,A6,D6,3
2,thin,medium,A6,L6,1
4,thin,medium,A6,L6,2
6,thin,medium,A6,L6,3
7,thin,medium,A6,D7,1
13,thin,medium,A6,D7,2
19,thin,medium,A6,D7,3
4,thin,medium,A6,L7,1
8,thin,medium,A6,L7,2
8,thin,medium,A6,L7,3
7,thin,medium,A6,L8,1
9,thin,medium,A6,L8,2
8,thin,medium,A6,L8,3
3,thin,medium,A6,W9,1
0,thin,medium,A6,W9,2
1,thin,medium,A6,W9,3
3,thin,medium,A6,L9,1
7,thin,medium,A6,L9,2
15,thin,medium,A6,L9,3
0,thin,medium,B3,W4,1
1,thin,medium,B3,W4,2
8,thin,medium,B3,W4,3
0,thin,medium,B3,D4,1
3,thin,medium,B3,D4,2
7,thin,medium,B3,D4,3
0,thin,medium,B3,L4,1
3,thin,medium,B3,L4,2
4,thin,medium,B3,L4,3
1,thin,medium,B3,D6,1
1,thin,medium,B3,D6,2
2,thin,medium,B3,D6,3
0,thin,medium,B3,L6,1
2,thin,medium,B3,L6,2
1,thin,medium,B3,L6,3
1,thin,medium,B3,D7,1
2,thin,medium,B3,D7,2
3,thin,medium,B3,D7,3
2,thin,medium,B3,L7,1
2,thin,medium,B3,L7,2
2,thin,medium,B3,L7,3
1,thin,medium,B3,L8,1
5,thin,medium,B3,L8,2
2,thin,medium,B3,L8,3
0,thin,medium,B3,W9,1
0,thin,medium,B3,W9,2
0,thin,medium,B3,W9,3
0,thin,medium,B3,L9,1
0,thin,medium,B3,L9,2
4,thin,medium,B3,L9,3
5,thin,medium,B6,W4,1
7,thin,medium,B6,W4,2
9,thin,medium,B6,W4,3
5,thin,medium,B6,D4,1
21,thin,medium,B6,D4,2
14,thin,medium,B6,D4,3
9,thin,medium,B6,L4,1
17,thin,medium,B6,L4,2
15,thin,medium,B6,L4,3
3,thin,medium,B6,D6,1
7,thin,medium,B6,D6,2
4,thin,medium,B6,D6,3
5,thin,medium,B6,L6,1
4,thin,medium,B6,L6,2
4,thin,medium,B6,L6,3
7,thin,medium,B6,D7,1
14,thin,medium,B6,D7,2
7,thin,medium,B6,D7,3
7,thin,medium,B6,L7,1
7,thin,medium,B6,L7,2
4,thin,medium,B6,L7,3
8,thin,medium,B6,L8,1
5,thin,medium,B6,L8,2
11,thin,medium,B6,L8,3
3,thin,medium,B6,W9,1
4,thin,medium,B6,W9,2
5,thin,medium,B6,W9,3
0,thin,medium,B6,L9,1
8,thin,medium,B6,L9,2
9,thin,medium,B6,L9,3
4,thin,small,A1.5,W4,1
7,thin,small,A1.5,W4,2
7,thin,small,A1.5,W4,3
6,thin,small,A1.5,D4,1
9,thin,small,A1.5,D4,2
19,thin,small,A1.5,D4,3
9,thin,small,A1.5,L4,1
9,thin,small,A1.5,L4,2
16,thin,small,A1.5,L4,3
7,thin,small,A1.5,D6,1
3,thin,small,A1.5,D6,2
6,thin,small,A1.5,D6,3
5,thin,small,A1.5,L6,1
3,thin,small,A1.5,L6,2
5,thin,small,A1.5,L6,3
5,thin,small,A1.5,D7,1
11,thin,small,A1.5,D7,2
12,thin,small,A1.5,D7,3
4,thin,small,A1.5,L7,1
6,thin,small,A1.5,L7,2
8,thin,small,A1.5,L7,3
4,thin,small,A1.5,L8,1
4,thin,small,A1.5,L8,2
12,thin,small,A1.5,L8,3
4,thin,small,A1.5,W9,1
0,thin,small,A1.5,W9,2
3,thin,small,A1.5,W9,3
6,thin,small,A1.5,L9,1
4,thin,small,A1.5,L9,2
4,thin,small,A1.5,L9,3
6,thin,small,A3,W4,1
16,thin,small,A3,W4,2
4,thin,small,A3,W4,3
6,thin,small,A3,D4,1
16,thin,small,A3,D4,2
15,thin,small,A3,D4,3
16,thin,small,A3,L4,1
23,thin,small,A3,L4,2
16,thin,small,A3,L4,3
6,thin,small,A3,D6,1
11,thin,small,A3,D6,2
8,thin,small,A3,D6,3
6,thin,small,A3,L6,1
10,thin,small,A3,L6,2
9,thin,small,A3,L6,3
8,thin,small,A3,D7,1
12,thin,small,A3,D7,2
11,thin,small,A3,D7,3
8,thin,small,A3,L7,1
4,thin,small,A3,L7,2
6,thin,small,A3,L7,3
5,thin,small,A3,L8,1
12,thin,small,A3,L8,2
8,thin,small,A3,L8,3
0,thin,small,A3,W9,1
2,thin,small,A3,W9,2
0,thin,small,A3,W9,3
7,thin,small,A3,L9,1
13,thin,small,A3,L9,2
11,thin,small,A3,L9,3
16,thin,small,A6,W4,1
34,thin,small,A6,W4,2
34,thin,small,A6,W4,3
20,thin,small,A6,D4,1
39,thin,small,A6,D4,2
40,thin,small,A6,D4,3
25,thin,small,A6,L4,1
37,thin,small,A6,L4,2
33,thin,small,A6,L4,3
15,thin,small,A6,D6,1
28,thin,small,A6,D6,2
29,thin,small,A6,D6,3
7,thin,small,A6,L6,1
15,thin,small,A6,L6,2
18,thin,small,A6,L6,3
24,thin,small,A6,D7,1
33,thin,small,A6,D7,2
36,thin,small,A6,D7,3
13,thin,small,A6,L7,1
19,thin,small,A6,L7,2
23,thin,small,A6,L7,3
15,thin,small,A6,L8,1
20,thin,small,A6,L8,2
22,thin,small,A6,L8,3
3,thin,small,A6,W9,1
4,thin,small,A6,W9,2
6,thin,small,A6,W9,3
8,thin,small,A6,L9,1
17,thin,small,A6,L9,2
22,thin,small,A6,L9,3
16,thin,small,B3,W4,1
27,thin,small,B3,W4,2
28,thin,small,B3,W4,3
24,thin,small,B3,D4,1
29,thin,small,B3,D4,2
25,thin,small,B3,D4,3
24,thin,small,B3,L4,1
34,thin,small,B3,L4,2
32,thin,small,B3,L4,3
17,thin,small,B3,D6,1
27,thin,small,B3,D6,2
22,thin,small,B3,D6,3
15,thin,small,B3,L6,1
11,thin,small,B3,L6,2
13,thin,small,B3,L6,3
19,thin,small,B3,D7,1
24,thin,small,B3,D7,2
23,thin,small,B3,D7,3
20,thin,small,B3,L7,1
18,thin,small,B3,L7,2
11,thin,small,B3,L7,3
20,thin,small,B3,L8,1
28,thin,small,B3,L8,2
16,thin,small,B3,L8,3
5,thin,small,B3,W9,1
3,thin,small,B3,W9,2
4,thin,small,B3,W9,3
12,thin,small,B3,L9,1
14,thin,small,B3,L9,2
16,thin,small,B3,L9,3
46,thin,small,B6,W4,1
48,thin,small,B6,W4,2
45,thin,small,B6,W4,3
39,thin,small,B6,D4,1
44,thin,small,B6,D4,2
45,thin,small,B6,D4,3
39,thin,small,B6,L4,1
41,thin,small,B6,L4,2
42,thin,small,B6,L4,3
34,thin,small,B6,D6,1
44,thin,small,B6,D6,2
30,thin,small,B6,D6,3
13,thin,small,B6,L6,1
25,thin,small,B6,L6,2
20,thin,small,B6,L6,3
36,thin,small,B6,D7,1
