index,series_name,network,season,title,rating,engagement,date,time,format,monster_name,monster_type,monster_subtype,monster_species,monster_real,monsters,setting,location,suspects,arrested,culprit_name,culprits,motive,door_gag,scrappy,snacks,zoinks,groovy
19,"Scooby Doo, Where Are You!",CBS,2,Mystery Mask Mix-Up,7.8,312,9/19/1970,21,TV Series,"Ghost of Zen Tuo,Scare Pair,Scare Pair","Ghost,Ghost,Ghost","Zombie,Zombie,Zombie","Human,Human,Human",FALSE,3,Urban,California,1,TRUE,A. Fong,1,Smuggling,FALSE,FALSE,1,3,0
20,"Scooby Doo, Where Are You!",CBS,2,Scooby's Night with a Frozen Fright,7.7,301,9/26/1970,21,TV Series,Caveman,Ancient,Caveman,Human,FALSE,1,Urban,United States,2,TRUE,Prof. Wayne,1,Theft,FALSE,FALSE,1,7,0
21,"Scooby Doo, Where Are You!",CBS,2,"Jeepers, It's the Creeper",8.5,347,10/3/1970,21,TV Series,Creeper,Ghost,Phantom,Human,FALSE,1,Rural,United States,2,TRUE,Mr. Carswell,1,Theft,TRUE,FALSE,1,7,0
22,"Scooby Doo, Where Are You!",CBS,2,Haunted House Hang-Up,8.4,303,10/10/1970,21,TV Series,Headless Specter,Ghost,Headless,Human,FALSE,1,Rural,United States,1,FALSE,Penrod Stillwall,1,Treasure,FALSE,FALSE,3,0,0
23,"Scooby Doo, Where Are You!",CBS,2,A Tiki Scare Is No Fair,7.9,292,10/17/1970,21,TV Series,"Witch Doctor,Mano Tiki Tia","Ancient,Possessed Object","Witch Doctor,Statue","Human,Object",FALSE,2,Jungle,Hawaii,1,TRUE,John Simms,1,Theft,FALSE,FALSE,1,6,0
24,"Scooby Doo, Where Are You!",CBS,2,Who's Afraid of the Big Bad Werewolf?,8.2,292,10/24/1970,21,TV Series,Werewolf,Animal,Werewolf,Human,FALSE,1,Rural,United States,0,TRUE,Sheep Rustler,1,Smuggling,FALSE,FALSE,0,0,0
25,"Scooby Doo, Where Are You!",CBS,2,Don't Fool with a Phantom,7.9,282,10/31/1970,21,TV Series,Wax Phantom,Ghost,Statue,Human,FALSE,1,Urban,United States,3,TRUE,Mr. Rodger Stevens,1,Theft,FALSE,FALSE,0,4,0
26,The New Scooby-Doo Movies,CBS,1,The Ghastly Ghost Town,6.9,138,9/9/1972,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus","Bat,Human,Human,Robot,Cactus",FALSE,2,Desert,United States,2,TRUE,"Rhino,Amos Crunch",2,Natural Resource,FALSE,FALSE,0,1,0
27,The New Scooby-Doo Movies,CBS,1,The Dynamic Scooby-Doo Affair,7.8,232,9/16/1972,41,TV Series,"Hooded Man,Skeletons","Disguised,Skeleton","Hooded,Humaniod","Human,Human",FALSE,2,Rural,United States,1,TRUE,Mrs. Baker,1,Counterfeit,FALSE,FALSE,3,3,0
28,The New Scooby-Doo Movies,CBS,1,Wednesday Is Missing,7.9,119,9/23/1972,41,TV Series,The Vulture,Animal,Bird,Vulture,FALSE,1,Forest,United States,2,FALSE,House Keeping Couple,2,Safety,FALSE,FALSE,1,0,0
29,The New Scooby-Doo Movies,CBS,1,The Frickert Fracas,7.9,116,9/30/1972,43,TV Series,Scarecrow,Possessed Object,Scarecrow,Human,FALSE,1,Rural,United States,4,TRUE,Simon Shakey,1,Treasure,TRUE,FALSE,0,9,0
30,The New Scooby-Doo Movies,CBS,1,Guess Who's Knott Coming to Dinner?,7.9,111,10/7/1972,43,TV Series,"Ghost of Captain Moody,Ghost of Captain Moody","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,Forest,United States,1,TRUE,"Captain Moody's Nephews,Captain Moody's Nephews",2,Inheritance,TRUE,FALSE,0,0,0
31,The New Scooby-Doo Movies,CBS,1,A Good Medium Is Rare,7.7,88,10/14/1972,41,TV Series,"The Gargoyle,Phantoms,Phantoms","Possessed Object,Ghost,Ghost","Statue,Phantom,Phantom","Gargoyle,Human,Human",FALSE,3,Forest,United States,4,TRUE,Alberto,1,Theft,FALSE,FALSE,0,1,0
32,The New Scooby-Doo Movies,CBS,1,Sandy Duncan's Jekyll and Hyde,7.8,90,10/21/1972,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality","Human,Human,Human,Human,Dragon,Human,Bear,Human,Human",FALSE,9,Urban,United States,4,FALSE,Zalia Z. Fairchild,1,Preservation,FALSE,FALSE,0,0,0
33,The New Scooby-Doo Movies,CBS,1,The Secret of Shark Island,8.5,109,10/28/1972,41,TV Series,"Shark Men,Shark Men","Animal,Animal","Sea-Monster,Sea-Monster","Shark,Shark",FALSE,2,Island,United States,2,TRUE,Milo Meekly,1,Treasure,FALSE,FALSE,0,1,0
34,The New Scooby-Doo Movies,CBS,1,The Spooky Fog of Juneberry,7.7,96,11/4/1972,43,TV Series,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Skeleton,Phantom,Phantom,Phantom,Brontosaurus,Headless,Phantom","Human,Human,Human,Human,Dinosaur,Human,Human",FALSE,7,Desert,United States,2,TRUE,Gene Haultrey,1,Theft,FALSE,FALSE,3,0,0
35,The New Scooby-Doo Movies,CBS,1,The Ghost of Bigfoot,8.3,118,11/11/1972,43,TV Series,The Ghost of Bigfoot,Ghost,Half-Human,Big Foot,FALSE,1,Snow,Vermont,4,TRUE,Jonathan Crabtree,1,Theft,TRUE,FALSE,0,0,0
36,The New Scooby-Doo Movies,CBS,1,The Ghost of the Red Baron,7.6,86,11/18/1972,43,TV Series,Ghost of the Red Baron,Ghost,Pilot,Human,FALSE,1,Rural,United States,3,TRUE,Mr. Siegfried,1,Competition,FALSE,FALSE,0,1,0
37,The New Scooby-Doo Movies,CBS,1,The Ghostly Creep from the Deep,7.4,90,11/25/1972,43,TV Series,"Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew","Ghost,Ghost,Ghost,Ghost","Pirate,Pirate,Pirate,Pirate","Human,Human,Human,Human",FALSE,4,Swamp,United States,1,TRUE,Oil Pirate,1,Natural Resource,FALSE,FALSE,1,0,1
38,The New Scooby-Doo Movies,CBS,1,The Haunted Horseman of Hagglethorn Hall,7.8,86,12/2/1972,41,TV Series,"Haunted Horseman,Moat Monster","Ghost,Animal","Horseman,Amphibian","Human,Frog",FALSE,2,Rural,United States,4,FALSE,"Duke of Strathmore,Cyrus Wheedly",2,Competition,FALSE,FALSE,0,1,0
39,The New Scooby-Doo Movies,CBS,1,The Phantom of the Country Music Hall,7.6,81,12/9/1972,41,TV Series,"Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Possessed Object,Possessed Object","Viking,Soldier","Human,Human",FALSE,2,Urban,Tennessee,2,TRUE,"Bertha,Ben Bing",2,Theft,FALSE,FALSE,0,1,0
40,The New Scooby-Doo Movies,CBS,1,The Caped Crusader Caper,7.2,183,12/16/1972,43,TV Series,"Dryad,Troll","Mythical,Mythical","Tree,Humanoid","Dryad,Troll",FALSE,2,Forest,United States,2,TRUE,"The Joker,The Penguin",2,Theft,FALSE,FALSE,0,5,0
41,The New Scooby-Doo Movies,CBS,1,The Lochness Mess,7.9,114,12/23/1972,43,TV Series,"Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Mythical,Ghost,Ghost,Ghost","Sea-Monster,Phantom,Phantom,Phantom","Serpent,Human,Human,Human",FALSE,4,Rural,Massachusetts,4,TRUE,"Morgan,Winslow,Selby",3,Treasure,FALSE,FALSE,0,0,0
42,The New Scooby-Doo Movies,CBS,2,The Mystery of Haunted Island,7.4,103,9/8/1973,44,TV Series,"Hooded Ghosts,Hooded Ghosts,Hooded Ghosts","Ghost,Ghost,Ghost","Phantom,Phantom,Phantom","Human,Human,Human",FALSE,3,Island,United States,2,FALSE,"Scorpions Owner,Scorpions Coach,Scorpions Trainer",3,Competition,FALSE,FALSE,0,0,0
43,The New Scooby-Doo Movies,CBS,2,The Haunted Showboat,7.9,82,9/15/1973,43,TV Series,"Ghost of Injun Joe,Ghost of Captain Scavenger","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,Coast,Missouri,3,TRUE,"Jack Canna,Jack Canna's Partner",2,Counterfeit,FALSE,FALSE,0,0,0
44,The New Scooby-Doo Movies,CBS,2,Mystery in Persia,7.5,82,9/22/1973,43,TV Series,Jadal,Mythical,Phantom,Genie,TRUE,1,Desert,Iran,3,TRUE,Abdullah,1,Competition,FALSE,FALSE,3,0,0
45,The New Scooby-Doo Movies,CBS,2,The Spirited Spooked Sports Show,7.4,73,9/29/1973,43,TV Series,Spirit of Fireball McPhan,Ghost,Phantom,Human,FALSE,1,Urban,United States,3,TRUE,"Jesse Finster,Mr Griffith's Twin Brother",2,Competition,FALSE,FALSE,0,0,0
46,The New Scooby-Doo Movies,CBS,2,The Exterminator,7.6,85,10/6/1973,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Humanoid,Frankenstein's Monster,Creepy,Headless,Exterminator,Phantom,Phantom,Sea-Monster","Human,Human,Human,Bird,Human,Human,Human,Fish",FALSE,8,Forest,California,1,FALSE,"Otto,Lorne Chumley",2,Competition,FALSE,FALSE,0,0,0
47,The New Scooby-Doo Movies,CBS,2,The Weird Winds of Winona,7.3,91,10/13/1973,44,TV Series,"Windmakers,Windmakers,Windmakers,Windmakers","Disguised,Disguised,Disguised,Disguised","Hooded,Hooded,Hooded,Hooded","Human,Human,Human,Human",FALSE,4,Rural,Mississippi,2,TRUE,P.J. Peabody,1,Competition,FALSE,FALSE,0,0,0
48,The New Scooby-Doo Movies,CBS,2,The Haunted Candy Factory,7.8,104,10/20/1973,43,TV Series,"Green Globs,Green Globs","Possessed Object,Possessed Object","Humanoid,Humanoid","Human,Human",FALSE,2,Urban,United States,2,TRUE,"Mr. Crink,Sterling Smith",2,Smuggling,FALSE,FALSE,0,0,0
49,The New Scooby-Doo Movies,CBS,2,The Haunted Carnival,7.6,92,10/27/1973,43,TV Series,Ghostly Strongman,Ghost,Phantom,Human,FALSE,1,Rural,United States,0,TRUE,Masked Marvel,1,Competition,FALSE,FALSE,0,0,0
50,The Scooby-Doo Show,ABC,1,High Rise Hair Raiser,7.6,112,9/11/1976,24,TV Series,"Specter of Ebenezer Crabbe,Ghost of Netty Crabbe","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,Urban,United States,4,TRUE,"Jim Rivets,Red Sparks",2,Theft,FALSE,FALSE,0,6,0
51,"Dynomutt, Dogwonder",ABC,Crossover,Everyone Hyde!,7.2,12,9/11/1976,22,Crossover,"Mr. Hyde,Snitch","Disguised,Animal","Split-Personality,Split-Personality","Human,Hound",TRUE,1,Urban,United States,2,TRUE,Willie the Weasel,1,Theft,FALSE,FALSE,0,3,0
52,The Scooby-Doo Show,ABC,1,The Fiesta Host is an Aztec Ghost,7.4,97,9/18/1976,24,TV Series,"Ghost of King Katazuma,Aztec Statue Monster","Ghost,Possessed Object","Phantom,Statue","Human,Human",FALSE,2,Rural,Mexico,4,TRUE,"Prof. Stonehack,Elina Stonehack",2,Treasure,FALSE,FALSE,2,8,0
53,"Dynomutt, Dogwonder",ABC,Crossover,"What Now, Lowbrow?",6.9,11,9/18/1976,22,Crossover,"Lowbrow,Lowbrow's Henchmen,Lowbrow's Henchmen","Super-Villain,Super-Villain,Super-Villain","Idiot,Henchman,Henchman","Human,Human,Human",TRUE,3,Urban,United States,1,TRUE,NULL,3,Theft,FALSE,FALSE,0,1,0
54,The Scooby-Doo Show,ABC,1,The Gruesome Game of the Gator Ghoul,7.5,95,9/25/1976,24,TV Series,Ghost of Gator Ghoul,Ghost,Amphibian,Alligator,FALSE,1,Swamp,Georgia,4,TRUE,Alice Dovely,1,Competition,FALSE,FALSE,0,1,0
55,The Scooby-Doo Show,ABC,1,Whatta Shocking Ghost,8,101,10/2/1976,24,TV Series,10000 Volt Ghost,Ghost,Electric,Human,FALSE,1,Snow,United States,3,TRUE,"Mr. Voltner,Mayor Dudley",2,Competition,FALSE,FALSE,0,5,0
56,The Scooby-Doo Show,ABC,1,The Headless Horseman of Halloween,8,127,10/9/1976,24,TV Series,Headless Horseman,Ghost,Headless,Human,FALSE,1,Rural,United States,4,TRUE,Elwood Crane,1,Theft,FALSE,FALSE,0,10,0
57,The Scooby-Doo Show,ABC,1,Scared a Lot in Camelot,7.6,93,10/16/1976,24,TV Series,"Ghost of Merlin,Black Knight","Ghost,Possessed Object",Witch,"Human,Human",FALSE,2,Forest,United States,3,TRUE,Zarko,1,Theft,FALSE,FALSE,0,3,0
58,The Scooby-Doo Show,ABC,1,The Harum-Scarum Sanitarium,8.2,99,10/23/1976,24,TV Series,Ghost of Dr. Coffin,Ghost,Phantom,Human,FALSE,1,Forest,Canada,2,TRUE,Officer Oldfield,1,Smuggling,FALSE,FALSE,0,13,0
59,The Scooby-Doo Show,ABC,1,The No-Face Zombie Chase Case,7.7,91,10/30/1976,24,TV Series,"No-Face Zombie,Gorilla","Undead,Animal","Zombie,Beast","Human,Gorilla",FALSE,2,Urban,United States,5,TRUE,Mr. Dilly,1,Theft,TRUE,FALSE,1,8,0
60,The Scooby-Doo Show,ABC,1,Mamba Wamba and the Voodoo Hoodoo,7,81,11/6/1976,24,TV Series,"Mamba Wamba,Zombie Lila,Mamba Zombie,","Ghost,Undead,Undead","Witch Doctor,Zombie,Zombie","Human,Human,Human",FALSE,3,Swamp,United States,5,TRUE,"Rodger,Lila",2,Extortion,FALSE,FALSE,2,9,0
61,The Scooby-Doo Show,ABC,1,A Frightened Hound Meets Demons Underground,7.4,84,11/13/1976,24,TV Series,Demon,Mythical,Demon,Demon,FALSE,3,Urban,Washington,4,TRUE,Sam Crenshaw,1,Theft,FALSE,FALSE,0,12,0
62,"Dynomutt, Dogwonder",ABC,Crossover,The Wizard of Ooze,6.3,7,11/13/1976,22,Crossover,Swamp Rat,Animal,Humanoid,Rat,FALSE,1,Swamp,United States,0,TRUE,Mudmouth,2,Theft,FALSE,FALSE,0,3,0
63,The Scooby-Doo Show,ABC,1,A Bum Steer for Scooby,6.8,84,11/20/1976,24,TV Series,"Tamuka the Ghost Bull,Medicine Man Ghost,Talking Bull","Ghost,Ghost,Animal","Beast,Witch Doctor,Beast","Bull,Human,Bull",FALSE,3,Rural,Texas,5,TRUE,"Sam Farren,Lenny,Sam Farren's Foreman",3,Theft,FALSE,FALSE,0,4,0
64,The Scooby-Doo Show,ABC,1,There's a Demon Shark in the Foggy Dark,7.2,80,11/25/1976,24,TV Series,Demon Shark,Mythical,Demon,Shark,FALSE,1,Urban,United States,4,TRUE,Mr. Wells,1,Smuggling,FALSE,FALSE,0,7,0
65,The Scooby-Doo Show,ABC,1,"Scooby-Doo, Where's the Crew?",7.3,77,11/27/1976,24,TV Series,"Ghost of Captain Pescado,Kelp Monster,Octopus Monster","Ghost,Plant,Animal","Pirate,Humanoid,Octopus","Human,Kelp,Octopus",FALSE,3,Ocean,United States,2,TRUE,Mr. Carp,1,Treasure,FALSE,FALSE,4,7,0
66,The Scooby-Doo Show,ABC,1,The Ghost That Sacked the Quarterback,6.8,75,12/4/1976,24,TV Series,Rambling Ghost,Ghost,Athlete,Human,FALSE,1,Urban,United States,6,TRUE,Buck Bender,1,Competition,FALSE,FALSE,0,8,0
67,The Scooby-Doo Show,ABC,1,The Ghost of the Bad Humor Man,7.7,84,12/11/1976,24,TV Series,"Strawberry Technicolor Phantom,Chocolate Technicolor Phantom,Vanilla Technicolor Phantom","Ghost,Ghost,Ghost","Phantom,Phantom,Phantom","Human,Human,Human",FALSE,3,Urban,United States,2,TRUE,Sammy the Shrimp,1,Theft,FALSE,FALSE,0,5,0
68,The Scooby-Doo Show,ABC,1,The Spirits of '76,7.5,81,12/18/1976,24,TV Series,"Ghost of Benedict Arnold,Ghost of William Demont,Ghost of Major Andre","Ghost,Ghost,Ghost","Statue,Statue,Statue","Human,Human,Human",FALSE,3,Urban,Washington D.C.,3,TRUE,"Mr. Clive,Mr. Wilit",2,Counterfeit,FALSE,FALSE,0,3,0
69,The Scooby-Doo Show,ABC,2,The Curse of the Viking Lake,7.4,71,9/10/1977,24,TV Series,"Viking Ghost,Viking Ghost,Viking Ghost","Ghost,Ghost,Ghost","Viking,Viking,Viking","Human,Human,Human",FALSE,3,Forest,United States,3,TRUE,Mr. Hansen,1,Natural Resource,FALSE,FALSE,0,8,0
70,Laff-a-Lympics,ABC,1,The Swiss Alps,6.9,25,9/10/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Mountain,Switzerland,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
71,Laff-a-Lympics,ABC,1,"Tokyo, Japan",6.9,25,9/10/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Urban,Japan,0,NULL,NULL,0,NULL,FALSE,FALSE,0,1,0
72,The Scooby-Doo Show,ABC,2,Vampire Bats and Scaredy Cats,8.2,104,9/17/1977,24,TV Series,Gramps the Vamp,Undead,Vampire,Human,FALSE,1,Island,United States,5,TRUE,Leon Vanaugh,1,Competition,FALSE,FALSE,0,11,0
73,Laff-a-Lympics,ABC,1,Acapulco,6.3,23,9/17/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Coast,Mexico,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
74,Laff-a-Lympics,ABC,1,England,6.3,23,9/17/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Urban,England,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
75,The Scooby-Doo Show,ABC,2,"Hang in There, Scooby-Doo",7.4,76,9/24/1977,24,TV Series,Pterodactyl Ghost,Ghost,Pterodactyl,Dinosaur,FALSE,1,Mountain,United States,2,TRUE,Mr Bohannon,1,Theft,FALSE,FALSE,0,10,0
76,Laff-a-Lympics,ABC,1,Florida,7.1,22,9/24/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Swamp,Florida,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
77,Laff-a-Lympics,ABC,1,China,7.1,22,9/24/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Urban,Hong Kong,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
78,The Scooby-Doo Show,ABC,2,The Chiller Diller Movie Thriller,7.9,77,10/1/1977,24,TV Series,Phantom of Milo Booth,Ghost,Phantom,Human,FALSE,1,Rural,United States,6,TRUE,Jim Moss,1,Competition,FALSE,FALSE,0,10,0
79,Laff-a-Lympics,ABC,1,The Sahara Desert,7.2,21,10/1/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Desert,Africa,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
80,Laff-a-Lympics,ABC,1,Scotland,7.2,21,10/1/1977,12,TV Series (segmented),Lochness Monster,Animal,Lochness Monster,Lochness Monster,TRUE,1,Rural,Scotland,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
81,The Scooby-Doo Show,ABC,2,The Spooky Case of the Grand Prix Race,7.4,75,10/8/1977,24,TV Series,Phantom Racer,Ghost,Phantom,Human,FALSE,1,Desert,United States,4,TRUE,Ken Rodgers,1,Theft,FALSE,FALSE,0,10,0
82,Laff-a-Lympics,ABC,1,France,6.8,19,10/8/1977,11,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Rural,France,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
83,Laff-a-Lympics,ABC,1,Australia,6.8,19,10/8/1977,11,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Rural,Australia,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
84,The Scooby-Doo Show,ABC,2,The Ozrk Witch,8.1,78,10/15/1977,24,TV Series,"Ghost of Witch McCoy,Zombie","Ghost,Undead","Witch,Zombie","Human,Human",FALSE,2,Forest,United States,3,TRUE,"Aggie Wilkins,Zeke Harkins",2,Smuggling,FALSE,FALSE,0,9,0
85,Laff-a-Lympics,ABC,1,"Athens, Greece",6.8,19,10/15/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Rural,Greece,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
86,Laff-a-Lympics,ABC,1,The Ozarks,6.8,19,10/15/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Rural,Missouri,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
87,The Scooby-Doo Show,ABC,2,Creepy Cruise,7.7,78,10/22/1977,24,TV Series,Futuristic Monster,Animal,Humanoid,Insect,FALSE,1,Ocean,United States,2,TRUE,"Professor Von Klamp,Simon Grady",2,Theft,FALSE,FALSE,0,8,0
88,Laff-a-Lympics,ABC,1,Italy,6.6,18,10/22/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Urban,Italy,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
89,Laff-a-Lympics,ABC,1,"Kitty Hawk, North Carolina",6.6,18,10/22/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Rural,North Carolina,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
90,The Scooby-Doo Show,ABC,2,The Creepy Heap from the Deep,7.4,71,10/29/1977,24,TV Series,"Creepy Heap from the Deep,Soulless Captain Clements","Animal,Undead","Sea-Monster,Possessed","Sea-Monster,Human",FALSE,2,Coast,United States,2,TRUE,"Bank Robber,Captain Clements",2,Smuggling,FALSE,FALSE,0,10,0
91,Laff-a-Lympics,ABC,1,Egypt,6.4,18,10/29/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Desert,Egypt,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
92,Laff-a-Lympics,ABC,1,Sherwood Forest,6.4,18,10/29/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Forest,England,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
93,Laff-a-Lympics,ABC,1,Spain,6,22,11/5/1977,12,TV Series (segmented),NULL,NULL,NULL,NULL,NULL,0,Urban,Spain,0,NULL,NULL,0,NULL,FALSE,FALSE,0,0,0
