respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
24,not Male,East North Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,19,22651,Some college or Associate degree
25,not Male,West South Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,50,61501,Some college or Associate degree
26,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,46,94681,Graduate degree
27,not Male,South Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,26,184622,Some college or Associate degree
28,not Male,Pacific,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,64,94657,Graduate degree
29,not Male,Pacific,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,44,43400,High school degree
30,not Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,37,122518,Graduate degree
31,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,20,23837,Bachelor degree
32,not Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,54,128545,Bachelor degree
33,not Male,New England,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,55,91187,Some college or Associate degree
34,not Male,Pacific,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,25,47939,Bachelor degree
35,not Male,Middle Atlantic,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,31,82859,Graduate degree
36,not Male,West South Central,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,54,135009,Bachelor degree
37,Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,50,151483,Graduate degree
38,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,51,105989,Graduate degree
39,not Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,58,81086,High school degree
40,not Male,Middle Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,85,57908,Bachelor degree
41,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,18,23651,Some college or Associate degree
42,not Male,East North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,30,108113,Bachelor degree
43,not Male,New England,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,26,64658,Bachelor degree
44,not Male,South Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,24,37694,Some college or Associate degree
45,not Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,26,41272,High school degree
46,Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,46,51308,Some college or Associate degree
47,Male,New England,No,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,46,82724,Bachelor degree
48,not Male,West North Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,20,38158,Bachelor degree
49,not Male,West North Central,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,52,32368,Some college or Associate degree
50,not Male,New England,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,37,48262,Graduate degree
51,not Male,West North Central,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,49334,Bachelor degree
52,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,18,111722,Less than high school degree
53,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,26,49915,Some college or Associate degree
54,not Male,Middle Atlantic,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,58,61434,Bachelor degree
55,not Male,New England,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,57,39072,Bachelor degree
56,Male,West South Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,40,48243,Some college or Associate degree
57,not Male,South Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,62,23903,Some college or Associate degree
58,Male,Pacific,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,97834,High school degree
59,not Male,West South Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,59,158329,Some college or Associate degree
60,not Male,New England,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,49,58830,Some college or Associate degree
61,not Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,28,37750,Some college or Associate degree
62,not Male,West South Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,68,36084,Some college or Associate degree
63,Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,52,67494,Some college or Associate degree
64,not Male,Middle Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,33,50334,Bachelor degree
65,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,47,42636,Graduate degree
66,Male,Pacific,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,52,41920,Bachelor degree
67,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,27,21912,Bachelor degree
68,not Male,Middle Atlantic,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,49,122580,High school degree
69,not Male,West North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,29,92576,Bachelor degree
70,Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,33,50905,Bachelor degree
71,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,28,21900,Bachelor degree
72,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,57,125608,Graduate degree
73,not Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,73136,Bachelor degree
74,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,52,44334,High school degree
75,not Male,Middle Atlantic,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,55,173188,Graduate degree
76,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,55,86174,Some college or Associate degree
77,Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,71,99936,Graduate degree
78,Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,32,26830,Graduate degree
79,not Male,South Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,48,52666,Graduate degree
80,not Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,39,52102,Graduate degree
81,not Male,West North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,19,24635,High school degree
82,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,58,86106,Bachelor degree
83,not Male,Pacific,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,64,32558,Some college or Associate degree
84,Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,27,91936,High school degree
85,not Male,East North Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,59,115346,Graduate degree
86,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,71,38818,Bachelor degree
87,not Male,East North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,21,107219,Some college or Associate degree
88,Male,East South Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,37,150951,High school degree
89,not Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,54,86787,Graduate degree
90,not Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,22,19022,Bachelor degree
91,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,55,55137,Bachelor degree
92,Male,West South Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,53,101724,Some college or Associate degree
93,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,23,87719,Bachelor degree
94,Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,76,66977,Bachelor degree
95,not Male,East North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,58,155090,Bachelor degree
96,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,42,28443,High school degree
97,not Male,Middle Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,58,93515,Some college or Associate degree
98,not Male,East North Central,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,62,62797,Graduate degree
99,Male,New England,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,31,138340,Graduate degree
100,Male,East South Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,74,105170,Some college or Associate degree
101,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,20137,High school degree
102,not Male,East North Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,25,22844,Less than high school degree
103,Male,Mountain,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,52,23770,Bachelor degree
104,Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,75,111437,Bachelor degree
105,not Male,Pacific,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,33,65914,Bachelor degree
106,not Male,Pacific,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,78,32192,Graduate degree
107,not Male,West South Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,37,99141,Bachelor degree
108,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,22,23288,Bachelor degree
109,not Male,West South Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,84,45756,Some college or Associate degree
110,not Male,South Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,79,43143,High school degree
111,not Male,South Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,29,70453,High school degree
112,Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,66,93744,Some college or Associate degree
113,not Male,Middle Atlantic,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,21,83976,Bachelor degree
114,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,20484,Some college or Associate degree
115,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,29,73468,Bachelor degree
116,not Male,West North Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,42,89594,Graduate degree
117,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,186442,Some college or Associate degree
118,not Male,New England,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,27,69849,Some college or Associate degree
119,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,35,58377,Some college or Associate degree
120,not Male,Middle Atlantic,No,Yes,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,25,81774,Some college or Associate degree
121,Male,East North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,79,42651,High school degree
122,Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,56,56662,Some college or Associate degree
123,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,48,39531,Graduate degree
124,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,45,91980,Bachelor degree
125,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,43,48140,Bachelor degree
126,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,47,106392,Graduate degree
127,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,28728,Bachelor degree
128,not Male,East North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,57,192982,Some college or Associate degree
129,not Male,East North Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,34,31940,Graduate degree
130,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,40,79170,Graduate degree
131,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,35,38274,Bachelor degree
132,Male,East North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,32,92139,Graduate degree
133,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,34,59139,Graduate degree
134,Male,South Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,36,34296,Some college or Associate degree
135,Male,South Atlantic,Yes,Yes,Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,63,157588,Bachelor degree
136,not Male,West South Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,21,174369,High school degree
137,not Male,West South Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,58,147359,Bachelor degree
138,not Male,Mountain,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,23,45669,Some college or Associate degree
139,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,59,96965,Some college or Associate degree
140,not Male,East North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,39,57680,Some college or Associate degree
141,not Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,21,51135,Bachelor degree
142,not Male,West North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,25,55309,High school degree
143,not Male,Pacific,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,32,55533,Bachelor degree
144,Male,New England,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,33,25188,Graduate degree
145,Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,24,46502,High school degree
146,not Male,West North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,42,33998,Bachelor degree
147,not Male,New England,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,47,45019,Graduate degree
148,Male,East South Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,60,122478,Graduate degree
149,not Male,New England,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,40,45294,Bachelor degree
150,Male,West South Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,85,123404,Some college or Associate degree
151,not Male,Middle Atlantic,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,22773,Bachelor degree
152,Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,28,23663,Bachelor degree
153,not Male,South Atlantic,No,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,21,43194,Bachelor degree
154,not Male,East North Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,22,67107,Bachelor degree
155,Male,Pacific,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Somewhat important,52,110683,Some college or Associate degree
156,not Male,West North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,19,185771,Bachelor degree
157,not Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,43,19862,Some college or Associate degree
158,not Male,New England,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,24,24830,Bachelor degree
159,not Male,West South Central,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,20,32284,Graduate degree
160,not Male,East North Central,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,37,47244,Some college or Associate degree
161,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,24,128807,Some college or Associate degree
162,not Male,Pacific,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,69,50027,Graduate degree
163,not Male,Pacific,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,33,51228,Some college or Associate degree
164,Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,26,143177,Bachelor degree
165,not Male,West North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,22,30587,Bachelor degree
166,not Male,New England,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,53,75262,Graduate degree
167,not Male,West North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,38,35349,Bachelor degree
168,not Male,South Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,70,49067,Some college or Associate degree
169,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,85,36391,Graduate degree
170,Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,54,54288,Bachelor degree
171,Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,58,131256,Bachelor degree
172,not Male,East South Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,23,19718,Some college or Associate degree
173,Male,Mountain,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,80,46580,Some college or Associate degree
174,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,45,97989,Bachelor degree
175,not Male,Pacific,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,44,108124,Graduate degree
176,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,21,24927,Some college or Associate degree
177,Male,Pacific,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,21,20981,Graduate degree
178,Male,Pacific,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Somewhat important,52,118613,Graduate degree
179,Male,Pacific,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,56,74037,Some college or Associate degree
180,not Male,West North Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,26,53731,Some college or Associate degree
181,not Male,South Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,41,69372,Bachelor degree
