year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
1979,Moonraker,notalk,fail,99.5,225.63,674.97,126,52975,NA,6.2,PG,"English, Italian","UK, France",Christopher Wood (screenplay),Lewis Gilbert,"Action, Adventure, Crime",James Bond investigates the mid-air theft of a space shuttle and discovers a plot to commit global genocide.
1979,Star Trek: The Motion Picture,notalk,fail,112.33,264.01,446.13,132,49699,48,6.3,PG,"English, Klingon",USA,"Gene Roddenberry (television series Star Trek), Alan Dean Foster (story), Harold Livingston (screenplay)",Robert Wise,"Adventure, Mystery, Sci-Fi","When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine and hopefully stop the intruder."
1979,Apocalypse Now,nowomen,fail,101.1,252.91,252.91,153,333237,90,8.5,R,"English, French, Vietnamese, Khmer",USA,"John Milius, Francis Ford Coppola, Michael Herr (narration)",Francis Ford Coppola,"Drama, War","During the U.S.-Viet Nam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe."
1979,Alien,pass,pass,28.89,259.75,653.57,117,391087,83,8.5,R,"English, Spanish","USA, UK","Dan O'Bannon (story), Ronald Shusett (story), Dan O'Bannon (screenplay)",Ridley Scott,"Horror, Sci-Fi","The commercial vessel Nostromo receives a distress call from an unexplored planet. After searching for survivors, the crew heads home only to realize that a deadly bioform has joined them."
1979,The Amityville Horror,pass,pass,59.38,209.37,350.41,117,22255,NA,6.2,R,English,USA,"Sandor Stern (screenplay), Jay Anson (book)",Stuart Rosenberg,Horror,"Newlyweds move into a house where a murder was committed, and experience strange manifestations which drive them away."
1980,Airplane!,dubious,fail,9.9,235.99,235.99,88,121941,NA,7.8,PG,English,USA,"Jim Abrahams (written for the screen by), David Zucker (written for the screen by), Jerry Zucker (written for the screen by)","Jim Abrahams, David Zucker, Jerry Zucker",Comedy,An airplane crew takes ill. Surely the only person capable of landing the plane is an ex-pilot afraid to fly. But don't call him Shirley.
1980,Flash Gordon,dubious,fail,98.97,76.66,76.66,111,29145,63,6.4,PG,English,"USA, UK","Lorenzo Semple Jr. (screenplay), Michael Allin (adaptation), Alex Raymond (based on the characters created by)",Mike Hodges,"Action, Adventure, Fantasy",A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.
1980,Superman II,dubious,fail,152.7,305.92,305.92,127,56800,87,6.8,PG,"English, French, Russian","USA, UK","Jerry Siegel (characters), Joe Shuster (characters), Mario Puzo (story), Mario Puzo (screenplay), David Newman (screenplay), Leslie Newman (screenplay)","Richard Lester, Richard Donner","Action, Sci-Fi","Superman agrees to sacrifice his powers to marry Lois, unaware that three Kryptonian criminals he inadvertently released are conquering Earth."
1980,Somewhere in Time,men,fail,14.42,27.46,27.46,103,16800,29,7.3,PG,English,USA,"Richard Matheson (screenplay), Richard Matheson (novel)",Jeannot Szwarc,"Drama, Fantasy, Romance",A Chicago playwright uses self-hypnosis to find the actress whose vintage portrait hangs in a grand hotel.
1980,The Shining,men,fail,53.73,124.47,124.47,144,418972,61,8.5,R,English,"UK, USA","Stephen King (novel), Stanley Kubrick (screenplay), Diane Johnson (screenplay)",Stanley Kubrick,Horror,"A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
1980,Raging Bull,notalk,fail,50.9,66.11,66.11,129,173235,92,8.3,R,English,USA,"Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)",Martin Scorsese,"Biography, Drama, Sport","An emotionally self-destructive boxer's journey through life, as the violence and temper that leads him to the top in the ring, destroys his life outside it."
1980,The Blues Brothers,notalk,fail,76.35,161.83,161.83,133,110332,NA,8,R,English,USA,"Dan Aykroyd, John Landis",John Landis,"Action, Comedy, Musical","Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised."
1980,Star Wars: Episode V - The Empire Strikes Back,nowomen,fail,65.04,820.82,1510.51,124,565009,78,8.8,PG,English,USA,"Leigh Brackett (screenplay), Lawrence Kasdan (screenplay), George Lucas (story)",Irvin Kershner,"Action, Adventure, Sci-Fi","After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke."
1980,Fame,pass,pass,50.9,63.5,220.44,134,13478,NA,6.5,R,"English, Spanish, French",USA,Christopher Gore,Alan Parker,"Drama, Music, Musical",A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.
1980,Private Benjamin,pass,pass,42.42,197.51,197.51,109,14584,NA,6,R,English,USA,"Nancy Meyers, Charles Shyer, Harvey Miller",Howard Zieff,"Comedy, War",A sheltered young high society woman joins the army on a whim and finds herself in a more difficult situation than she ever expected.
1980,The Fog,pass,pass,50.9,83.45,104.76,89,35554,NA,6.8,R,English,USA,"John Carpenter, Debra Hill",John Carpenter,Horror,"A Northern California fishing town, built 100 years ago over an old leper colony, becomes shrouded by a killer fog containing zombie-like ghosts seeking revenge for their deaths."
1981,Friday the 13th Part 2,notalk,fail,3.2,55.65,55.65,87,28791,NA,6,R,English,USA,"Ron Kurz, Victor Miller (characters)",Steve Miner,"Horror, Mystery, Thriller","Mrs. Voorhees is dead, and Camp Crystal Lake is shut down, but a camp next to the infamous place is stalked by an unknown assailant. Is it Mrs. Voorhees' son Jason who didn't drown in the lake some 30 years before?"
1981,Heavy Metal,notalk,fail,23.83,50.14,50.14,86,18505,NA,6.7,R,English,Canada,"Daniel Goldberg (screenplay), Len Blum (screenplay), Dan O'Bannon (original story), Daniel Goldberg (story), Len Blum (story), Richard Corben (original story), Bernie Wrightson (original story), Dan O'Bannon (story), Angus McKie (original story), Daniel Goldberg (story), Len Blum (story)",Gerald Potterton,"Animation, Adventure, Fantasy","A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror."
1981,History of the World: Part I,notalk,fail,28.18,81.14,81.14,92,28166,NA,6.8,R,"English, Latin, French",USA,Mel Brooks,Mel Brooks,"Comedy, Musical",Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.
1981,Time Bandits,notalk,fail,30.74,95.81,95.81,110,36883,NA,7,PG,English,UK,"Michael Palin, Terry Gilliam",Terry Gilliam,"Adventure, Comedy, Fantasy",A young boy accidently joins a band of dwarves as they jump from time-period to time-period looking for treasure to steal.
1981,Das Boot,nowomen,fail,30.74,29.43,217.68,149,126994,86,8.5,R,"German, English, French",West Germany,"Wolfgang Petersen (screenplay), Lothar G. Buchheim (novel)",Wolfgang Petersen,"Action, Adventure, Drama","The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror."
1981,Escape from New York,nowomen,fail,15.37,64.67,64.67,99,68617,NA,7.2,R,English,"UK, USA","John Carpenter, Nick Castle",John Carpenter,"Action, Sci-Fi","In 1997, when the US President crashes into Manhattan, now a giant max. security prison, a convicted bank robber is sent in for a rescue."
1981,Raiders of the Lost Ark,nowomen,fail,51.24,635.76,998.95,115,471716,90,8.6,PG,"English, German, Hebrew, Spanish, Arabic, Nepali",USA,"Lawrence Kasdan (screenplay), George Lucas (story), Philip Kaufman (story)",Steven Spielberg,"Action, Adventure",Archeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.
1981,Halloween II,pass,pass,6.4,65.41,65.41,92,38471,44,6.5,R,English,USA,"John Carpenter, Debra Hill",Rick Rosenthal,"Horror, Thriller","Laurie Strode is rushed to the hospital, while Sheriff Brackett and Dr. Loomis hunt the streets for Michael Myers, who has found Laurie at the Haddonfield Hospital."
1982,Friday the 13th Part III,dubious,fail,5.43,88.54,88.54,95,23520,NA,5.6,R,English,USA,"Martin Kitrosser (screenplay), Carol Watson (screenplay), Victor Miller (character creator), Ron Kurz (character creator)",Steve Miner,"Horror, Thriller","Having escaped, Jason Voorhees is back, hockey mask and all, to continue his murderous rampage across Camp Crystal Lake."
1982,Fast Times at Ridgemont High,men,fail,10.86,65.38,65.38,90,56480,67,7.2,R,English,USA,"Cameron Crowe (screenplay), Cameron Crowe (book)",Amy Heckerling,"Comedy, Drama, Romance","A story of a group of California teenagers who enjoy malls, sex and rock n' roll."
1982,Blade Runner,notalk,fail,67.57,78.81,79.97,117,349913,88,8.3,R,"English, German, Cantonese, Japanese, Hungarian","USA, Hong Kong, UK","Hampton Fancher (screenplay), David Webb Peoples (screenplay), Philip K. Dick (novel)",Ridley Scott,"Drama, Sci-Fi, Thriller",A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
1982,Conan the Barbarian,notalk,fail,48.27,92.34,190.92,129,93331,43,6.9,R,English,USA,"Robert E. Howard (stories), John Milius, Oliver Stone",John Milius,"Action, Fantasy, Adventure",A vengeful barbarian warrior sets off to avenge his tribe and his parents whom were slain by an evil sorcerer and his warriors when he was a boy.
1982,Diner,notalk,fail,12.07,30.39,30.39,110,12673,86,7.2,R,English,USA,Barry Levinson,Barry Levinson,"Comedy, Drama",A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.
1982,Tootsie,notalk,fail,36.2,427.63,427.63,116,63548,87,7.4,R,English,USA,"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)",Sydney Pollack,"Comedy, Drama, Romance",An unemployed actor with a reputation for being difficult disguises himself as a woman to get a role in a soap opera.
1982,First Blood,nowomen,fail,33.79,113.94,302.17,93,134361,62,7.6,R,English,USA,"David Morrell (novel), Michael Kozoll (screenplay), William Sackheim (screenplay), Sylvester Stallone (screenplay)",Ted Kotcheff,"Action, Adventure, Drama",A Vietnam Veteran uses his combat skills against the lawman of a small town when he arrests and abuses him.
1982,TRON,nowomen,fail,41.03,64.96,64.96,96,77873,NA,6.8,PG,English,USA,"Steven Lisberger (screenplay), Steven Lisberger (story), Bonnie MacBird (story)",Steven Lisberger,"Action, Adventure, Sci-Fi",A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.
1982,Cat People,pass,pass,30.17,16.89,50.68,118,11524,NA,6,R,English,USA,"DeWitt Bodeen (story), Alan Ormsby (screenplay)",Paul Schrader,"Drama, Fantasy, Horror","In this erotic remake of the 1942 classic, a young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard."
1982,Poltergeist,pass,pass,25.82,180.29,293.71,114,75183,NA,7.4,PG,English,USA,"Steven Spielberg (screenplay), Michael Grais (screenplay), Mark Victor (screenplay), Steven Spielberg (story)",Tobe Hooper,Horror,A family's home is haunted by a host of ghosts.
1982,The Best Little Whorehouse in Texas,pass,pass,49.47,168.21,168.21,114,6524,NA,5.7,R,English,USA,"Larry L. King (play), Peter Masterson (play), Larry L. King (screenplay), Peter Masterson (screenplay), Colin Higgins (screenplay)",Colin Higgins,"Comedy, Musical","Town Sheriff and regular patron, fights to keep a historical whorehouse open when a TV preacher targets it as the Devils playhouse."
1983,Videodrome,men,fail,13.92,4.96,4.96,87,44482,60,7.3,R,English,Canada,David Cronenberg,David Cronenberg,"Horror, Sci-Fi",A sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a very unusual fashion when he acquires a new kind of programming for his station.
1983,WarGames,notalk,fail,28.07,174.13,174.13,114,58655,NA,7.1,PG,English,USA,"Lawrence Lasker, Walter F. Parkes",John Badham,"Sci-Fi, Thriller","A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III."
1983,Star Wars: Episode VI - Return of the Jedi,nowomen,fail,76.03,723.34,1339.75,134,441741,52,8.4,PG,English,USA,"Lawrence Kasdan (screenplay), George Lucas (screenplay), George Lucas (story)",Richard Marquand,"Action, Adventure, Fantasy","After rescuing Han Solo from the palace of Jabba the Hutt, the Rebels attempt to destroy the Second Death Star, while Luke Skywalker tries to bring his father back to the Light Side of the Force."
1983,Flashdance,pass,pass,16.38,211.63,471.29,95,26062,35,6,R,English,USA,"Thomas Hedley Jr. (screenplay), Joe Eszterhas (screenplay), Thomas Hedley Jr. (story)",Adrian Lyne,"Drama, Romance, Music",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.
1983,Superman III,pass,pass,91.23,140.25,140.25,125,37333,42,4.9,PG,"English, Italian, Spanish","UK, USA","David Newman (screenplay), Leslie Newman (screenplay), Jerry Siegel (creator), Joe Shuster (creator)",Richard Lester,"Action, Comedy, Fantasy",Synthetic kryptonite laced with tobacco tar splits Superman in two: good Clark Kent and bad Man of Steel.
1984,Conan the Destroyer,dubious,fail,40.35,59.17,59.17,103,49184,NA,5.8,PG,English,USA,"Robert E. Howard (character), Roy Thomas (story), Gerry Conway (story), Stanley Mann (screenplay)",Richard Fleischer,"Action, Fantasy, Adventure",Conan leads a ragtag group of adventurers on a quest for a princess.
1984,Dune,dubious,fail,100.86,61.52,61.52,137,81026,NA,6.6,PG-13,"English, Italian",USA,"Frank Herbert (novel), David Lynch (screenplay)",David Lynch,"Action, Adventure, Sci-Fi",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.
1984,Police Academy,dubious,fail,10.09,182,182,96,68281,NA,6.6,R,English,USA,"Neal Israel (screenplay), Pat Proft (screenplay), Hugh Wilson (screenplay), Neal Israel (story), Pat Proft (story)",Hugh Wilson,"Comedy, Crime","A group of good-hearted but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks."
1984,Body Double,men,fail,22.41,19.73,19.73,114,15641,NA,6.7,R,English,USA,"Robert J. Avrech (screenplay), Brian De Palma (screenplay), Brian De Palma (story)",Brian De Palma,"Crime, Drama, Mystery",A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.
1984,Repo Man,men,fail,3.36,5.16,5.16,92,20477,75,6.9,R,"English, Spanish",USA,Alex Cox,Alex Cox,"Comedy, Crime, Sci-Fi","Young punk Otto becomes a repo man after helping to steal a car, and stumbles into a world of wackiness as a result."
1984,The Terminator,men,fail,14.35,85.22,174.88,107,413023,84,8.1,R,"English, Spanish","UK, USA","James Cameron, Gale Anne Hurd, William Wisher Jr. (additional dialogue)",James Cameron,"Action, Sci-Fi","A human-looking indestructible cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs."
1984,Ghostbusters,notalk,fail,67.24,534.88,653.68,105,194518,NA,7.8,PG,English,USA,"Dan Aykroyd, Harold Ramis",Ivan Reitman,"Comedy, Fantasy, Sci-Fi",Three unemployed parapsychology professors set up shop as a unique ghost removal service.
1984,Gremlins,notalk,fail,24.66,332.11,332.11,106,101827,NA,7.2,PG,"English, Spanish",USA,Chris Columbus,Joe Dante,"Comedy, Horror",A boy inadvertantly breaks 3 important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
1984,Splash,notalk,fail,17.93,140.31,140.31,111,43702,NA,6.2,PG,"English, Swedish",USA,"Brian Grazer (story), Bruce Jay Friedman (screen story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Bruce Jay Friedman (screenplay)",Ron Howard,"Comedy, Fantasy, Romance",A man is reunited with a mermaid who saves him from drowning as a boy and falls in love not knowing who/what she is.
1984,Star Trek III: The Search for Spock,notalk,fail,40.35,171.41,195.01,105,46779,55,6.6,PG,"English, Klingon, Russian",USA,"Gene Roddenberry (television series Star Trek), Harve Bennett",Leonard Nimoy,"Action, Adventure, Sci-Fi",Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.
