Name,Caramel,Nougat,Chocolate,Fruit,Nuts,Crispy,Hard,Bar,Pluribus,Sugar,Price,Win
Haribo Twin Snakes,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,46.5,46.5,42.178772
Hershey's Kisses,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,12.7,9.3000002,55.375454
Hershey's Krackel,no caramel,no nougat,chocolate,not fruity,no nuts,crispy,not hard,bar,not pluribus,43.000001,91.799998,62.284481
Hershey's Milk Chocolate,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,43.000001,91.799998,56.490501
Hershey's Special Dark,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,43.000001,91.799998,59.236122
Jawbusters,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,9.3000002,51.099998,28.127439
Junior Mints,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,19.7,51.099998,57.21925
Kit Kat,no caramel,no nougat,chocolate,not fruity,no nuts,crispy,not hard,bar,not pluribus,31.299999,51.099998,76.7686
Laffy Taffy,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,not pluribus,22,11.6,41.389557
Lemonhead,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,not pluribus,4.6,10.4,39.141056
Lifesavers big ring gummies,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,not pluribus,26.699999,27.900001,52.911392
Peanut butter M&M's,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,not bar,pluribus,82.499999,65.100002,71.46505
M&M's,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,82.499999,65.100002,66.574585
Mike & Ike,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,87.199998,32.499999,46.411716
Milk Duds,caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,30.199999,51.099998,55.064072
Milky Way,caramel,nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,60.399997,65.100002,73.099556
Milky Way Midnight,caramel,nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,73.199999,44.100001,60.800701
Milky Way Simply Caramel,caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,96.499997,86.000001,64.35334
Mounds,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,31.299999,86.000001,47.829754
Mr Good Bar,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,bar,not pluribus,31.299999,91.799998,54.526451
Nerds,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,84.799999,32.499999,55.354046
Nestle Butterfinger,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,bar,not pluribus,60.399997,76.700002,70.735641
Nestle Crunch,no caramel,no nougat,chocolate,not fruity,no nuts,crispy,not hard,bar,not pluribus,31.299999,76.700002,66.47068
Nik L Nip,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,19.7,97.600001,22.445341
Now & Later,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,22,32.499999,39.4468
Payday,no caramel,nougat,no chocolate,not fruity,nuts,not crispy,not hard,bar,not pluribus,46.5,76.700002,46.296597
Peanut M&Ms,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,not bar,pluribus,59.299999,65.100002,69.483788
Pixie Sticks,no caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,9.3000002,2.3,37.722336
Pop Rocks,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,60.399997,83.700001,41.265511
Red vines,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,58.099997,11.6,37.348522
Reese's Miniatures,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,not bar,not pluribus,3.4000002,27.900001,81.866257
Reese's Peanut Butter cup,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,not bar,not pluribus,72.000003,65.100002,84.18029
Reese's pieces,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,not bar,pluribus,40.599999,65.100002,73.43499
Reese's stuffed with pieces,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,not bar,not pluribus,98.799998,65.100002,72.887901
Ring pop,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,not pluribus,73.199999,96.499997,35.290756
Rolo,caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,86.000001,86.000001,65.716286
Root Beer Barrels,no caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,hard,not bar,pluribus,73.199999,6.8999998,29.703691
Runts,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,87.199998,27.900001,42.849144
Sixlets,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,22,8.1,34.722
Skittles original,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,94.099998,22,63.08514
Skittles wildberry,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,94.099998,22,55.103695
Nestle Smarties,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,26.699999,97.600001,37.887188
Smarties candy,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,26.699999,11.6,45.995827
Snickers,caramel,nougat,chocolate,not fruity,nuts,not crispy,not hard,bar,not pluribus,54.6,65.100002,76.673782
Snickers Crisper,caramel,no nougat,chocolate,not fruity,nuts,crispy,not hard,bar,not pluribus,60.399997,65.100002,59.529251
Sour Patch Kids,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,6.8999998,11.6,59.863998
Sour Patch Tricksters,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,6.8999998,11.6,52.825947
Starburst,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,15.099999,22,67.037628
Strawberry bon bons,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,56.900001,5.7999998,34.578991
Sugar Babies,caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,96.499997,76.700002,33.43755
Sugar Daddy,caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,not hard,not bar,not pluribus,41.800001,32.499999,32.230995
Super Bubble,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,not pluribus,16.2,11.6,27.303865
Swedish Fish,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,60.399997,75.5,54.861111
Tootsie Pop,no caramel,no nougat,chocolate,fruity,no nuts,not crispy,hard,not bar,not pluribus,60.399997,32.499999,48.982651
Tootsie Roll Juniors,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,not pluribus,31.299999,51.099998,43.068897
Tootsie Roll Midgies,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,17.399999,1.1,45.736748
Tootsie Roll Snack Bars,no caramel,no nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,46.5,32.499999,49.653503
Trolli Sour Bites,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,31.299999,25.5,47.173229
Twix,caramel,no nougat,chocolate,not fruity,no nuts,crispy,not hard,bar,not pluribus,54.6,90.600002,81.642914
Twizzlers,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,not pluribus,22,11.6,45.466282
Warheads,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,not pluribus,9.3000002,11.6,39.011898
Welch's Fruit Snacks,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,31.299999,31.299999,44.375519
Werther's Original Caramel,caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,hard,not bar,not pluribus,18.6,26.699999,41.904308
Whoppers,no caramel,no nougat,chocolate,not fruity,no nuts,crispy,not hard,not bar,pluribus,87.199998,84.799999,49.524113
