county,district,grade_span,teachers,expenditures,ratio,income,english,test_scores
Monterey,Alisal Union Elementary,KK-06,319.7999878,4997.871582,22.84552956,7.983181477,73.7202301,623.2
Kern,Arvin Union Elementary,KK-08,135,5223.912109,19.26666641,7.304999828,70.01153564,623.45
Tulare,Terra Bella Union Elementary,KK-08,44,5139.164551,19.25,8.934000015,55.96221542,623.6
Tulare,Tipton Elementary,KK-08,22,4614.251953,20.54545403,8.553999901,11.06194687,624.15
San Diego,San Ysidro Elementary,KK-08,201,5342.233398,20.60696602,6.612999916,80.42008972,624.55
Monterey,Soledad Unified,KK-08,99.75,5347.458496,21.07268143,12.4090004,63.13035583,624.95
Los Angeles,Mountain View Elementary,KK-08,464.8999939,5036.458984,21.53581429,8.126615524,65.12185669,625.3
Monterey,King City Union Elementary,KK-08,125,5117.141602,19.90399933,11.43099976,53.41640091,625.85
San Bernardino,Ontario-Montclair Elementary,KK-08,1186.699951,5117.039551,21.19406891,11.72222519,49.82307053,626.1
Los Angeles,Los Nietos Elementary,KK-08,103.6800003,5272.191895,21.86535454,11.33250046,35.46537018,626.8
Merced,Winton Elementary,KK-08,90.40000153,5225.719238,18.32964516,9.597999573,56.12552643,626.9
Fresno,Raisin City Elementary,KK-08,17.5,6516.533203,16.22857094,14.55799961,32.39436722,627.1
San Mateo,Ravenswood City Elementary,KK-08,280,4559.176758,19.1785717,22.05999947,65.51210022,627.25
Kern,Richland-Lerdo Union Elementary,KK-08,121.8600006,5119.158203,20.27736664,9.708999634,53.05544281,627.3
Ventura,Oxnard Elementary,KK-08,669.3599854,5338.185547,22.98613739,11.48294449,49.64253235,628.25
Merced,El Nido Elementary,KK-08,9,5090.044922,20.44444466,8.17800045,45.10869598,628.4
Kern,Fairfax Elementary,KK-08,61.40000153,5485.496094,19.82084656,8.173999786,30.32045937,628.55
Kern,Delano Union Elementary,KK-08,268,4793.370117,23.20522308,7.5,52.24312592,628.65
Riverside,Perris Elementary,KK-06,221,5092.91748,19.26696777,10.05049992,36.80131531,628.75
Los Angeles,Valle Lindo Elementary,KK-08,53,4359.520996,23.30188751,7.331999779,30.28339958,629.8
Santa Clara,Alum Rock Union Elementary,KK-08,766.6500244,5645.495605,21.18828583,12.5815773,49.8645668,630.35
Kern,Edison Elementary,KK-08,39,4518.016113,20.87179565,15.17700005,13.75921345,630.4
Kern,Bakersfield City Elementary,KK-08,1429,5864.366211,19.0174942,12.109128,28.86370468,630.55
Santa Clara,Franklin-McKinley Elementary,KK-08,487.9700012,5257.996582,21.91938019,11.78499985,52.80478668,630.55
Los Angeles,Hawthorne Elementary,KK-08,444.5,5016.692383,20.10123825,14.06200027,44.08506012,631.05
Madera,Chowchilla Elementary,KK-08,74.5,4720.086426,21.476511,10.47200012,35.25,631.4
Monterey,Salinas City Elementary,KK-06,449.9200134,5470.5625,20.06578827,13.40511703,37.49446106,631.85
Santa Barbara,Santa Maria-Bonita Elementary,KK-08,521.4699707,5615.441895,20.37509537,12.30179977,50.39059067,631.9
Los Angeles,Whittier City Elementary,KK-08,318.5799866,5245.439941,22.4464817,15.40407085,31.07257843,631.95
Los Angeles,Eastside Union Elementary,KK-08,105,4838.175293,22.89523888,13.76200008,18.26123238,632
Los Angeles,Lawndale Elementary,KK-08,283.1499939,5367.988281,20.49797058,14.18400002,34.70020676,632.2
Sacramento,Robla Elementary,KK-06,112.6500015,5526.236816,20,8.864999771,33.28894806,632.25
Monterey,Santa Rita Union Elementary,KK-08,126.1200027,4353.019531,22.25658035,12.99699974,33.48770905,632.45
Ventura,Rio Elementary,KK-08,142.5500031,5034.290039,21.56436348,11.59200001,38.15875244,632.85
Tulare,Strathmore Union Elementary,KK-08,37.11999893,4692.493652,19.47737122,8.279000282,36.92946243,632.95
Sacramento,North Sacramento Elementary,KK-06,290.7749939,5606.781738,17.67002106,10.90564251,32.98949051,633.05
Orange,Anaheim Elementary,KK-06,953.5,4969.180664,21.94756126,13.40062523,58.21665573,633.15
Kings,Lemoore Union Elementary,KK-08,138.5,4675.674805,21.78339386,11.08100033,17.00364685,633.65
Kings,Armona Union Elementary,KK-08,50,5306.132813,19.13999939,9.081999779,17.65935326,633.9
Kern,Beardsley Elementary,KK-08,90.5,5693.883301,18.11049652,13.39000034,7.321537495,634
Los Angeles,South Whittier Elementary,KK-08,209.8399963,5181.57959,20.68242455,14.60162544,31.19815636,634.05
Kings,Hanford Elementary,KK-08,224.5,5228.650879,22.62360764,11.11600018,16.61744499,634.1
San Diego,National Elementary,KK-06,304.730011,5339.391113,21.78649902,8.423000336,58.08103561,634.1
Sonoma,Roseland Elementary,KK-06,62.09999847,6056.49707,18.58293152,11.66499996,55.89254379,634.15
Kern,Di Giorgio Elementary,KK-08,11,4845.680176,21.54545403,7.304999828,5.485232353,634.2
Los Angeles,Keppel Union Elementary,KK-08,141.2100067,4826.666016,21.15289116,13.7305994,14.4291935,634.4
Kings,Lakeside Union Elementary,KK-08,30,5367.090332,16.63333321,11.11600018,22.84569168,634.55
Merced,Merced City Elementary,KK-08,542.6500244,5742.73291,21.14438248,10.36442852,38.78333664,634.7
Santa Barbara,Guadalupe Union Elementary,KK-08,55,4136.250977,19.78181839,6.982999802,64.24632263,634.9
San Bernardino,Cucamonga Elementary,KK-08,140.1199951,5267.831055,18.98372841,14.46780014,25.22556496,634.95
Contra Costa,Knightsen Elementary,KK-08,19.97999954,5238.39209,17.66766739,14.65299988,5.382436275,635.05
Humboldt,Rio Dell Elementary,KK-08,18.53000069,5462.899414,17.75499153,10.62899971,6.079027653,635.2
Siskiyou,Montague Elementary,KK-08,16.5,6313.373535,15.27272701,9.781000137,0,635.45
Siskiyou,McCloud Union Elementary,KK-08,12.5,6653.030762,14,10.65600014,0,635.6
Ventura,Santa Paula Elementary,KK-08,186.1999969,5533.149414,20.59613419,11.93799973,34.88917923,635.6
Fresno,West Park Elementary,KK-08,19.25,6118.710449,16.31168747,7.385000229,13.05732441,635.75
Merced,Atwater Elementary,KK-08,211,5098.626953,21.12796211,10.67599964,36.0251236,635.95
Merced,Weaver Union Elementary,KK-08,75.08000183,5652.878906,17.48801231,9.972000122,34.65346527,636.1
Fresno,Pacific Union Elementary,KK-08,26.5,5329.002441,17.88679314,8.258000374,28.69198227,636.5
San Bernardino,Lucerne Valley Unified,KK-08,57.70000076,5929.809082,19.30675888,8.895999908,1.795332193,636.6
Riverside,Romoland Elementary,KK-06,65,4897.067871,20.89230728,12.06200027,30.63328552,636.7
Los Angeles,El Monte City Elementary,KK-08,546.2999878,5100.202148,21.28683853,9.428894997,59.0334549,636.9
Kern,Greenfield Union Elementary,KK-08,306.75,4825.722656,20.1955986,8.920332909,13.55932236,636.95
Tulare,Palo Verde Union Elementary,KK-08,20,4079.12915,24.95000076,10.09799957,5.010019779,637
Sacramento,Elverta Joint Elementary,KK-08,23,5349.367676,18.13043404,11.82999992,0.959232628,637.1
Lake,Lucerne Elementary,KK-08,15,5869.38916,20,11.55300045,0.666666687,637.35
Santa Clara,Luther Burbank Elementary,KK-08,24.39999962,6462.12793,18.72950935,19.70700073,38.51203537,637.65
Butte,Bangor Union Elementary,KK-08,8,6231.601563,18.25,7.105000019,0,637.95
San Mateo,Bayshore Elementary,KK-08,24.21999931,4993.867676,18.99256897,13.72500038,17.17391396,637.95
Tulare,Oak Valley Union Elementary,KK-08,17.79999924,4663.811035,19.88764191,10.09799957,9.887005806,638
Los Angeles,Wilsona Elementary,KK-08,95,6107.106445,19.37894821,13.76200008,19.39163589,638.2
Imperial,Meadows Union Elementary,KK-08,22.43000031,5221.460938,22.29157257,10.26399994,39.39999771,638.3
Los Angeles,Little Lake City Elementary,KK-08,246.8999939,5157.784668,20.70473862,11.56920052,28.67762184,638.35
Kern,Pond Union Elementary,KK-08,7.659999847,5131.119141,19.06005287,7.40500021,13.69863033,638.55
Kern,Taft City Elementary,KK-08,105.8199997,5279.354004,20.23246956,12.07699966,11.34983635,638.7
Sutter,Brittan Elementary,KK-08,30.97999954,4704.043945,19.6901226,11.28299999,3.442623138,639.25
Mendocino,Arena Union Elementary,KK-08,16.54999924,6089.910645,20.36253929,10.03499985,15.43026733,639.3
San Bernardino,Adelanto Elementary,KK-08,227.8500061,5356.833496,19.75422287,8.383999825,17.97378349,639.35
San Benito,Hollister School District,KK-08,295.0499878,5144.549316,19.37976646,13.63000011,22.71773338,639.5
Los Angeles,Palmdale Elementary,KK-08,846.3800049,4906.22998,22.9235096,14.12766743,18.43624496,639.75
Butte,Oroville City Elementary,KK-08,175.5500031,5489.588867,19.37339783,11.26612473,16.17171478,639.8
Kern,Standard Elementary,KK-08,136.8300018,5718.55127,19.15515518,13.39000034,2.02212882,639.85
Ventura,Briggs Elementary,KK-08,20,4436.152832,21.29999924,11.93799973,9.62441349,639.9
Fresno,Monroe Elementary,KK-08,11.19999981,4895.439453,18.3035717,8.258000374,41.46341324,640.1
Los Angeles,Lancaster Elementary,KK-08,648.4099731,5159.21875,21.07925606,14.22672749,9.8990345,640.15
Madera,Alview-Dairyland Union Elementary,KK-08,18.20000076,5490.654785,18.79120827,10.47200012,16.08187103,640.5
Orange,Magnolia Elementary,KK-06,332.1000061,5172.019531,19.62661743,14.24290085,43.4949379,640.75
Tulare,Liberty Elementary,KK-08,12.19999981,4441.672852,19.59016418,14.06599998,8.786610603,640.9
Santa Clara,Mt. Pleasant Elementary,KK-08,139.4700012,5220.370117,20.87187195,15.96800041,39.02438736,641.1
Imperial,El Centro Elementary,KK-08,297.0400085,5252.810547,21.11500168,10.26399994,53.89030457,641.45
San Diego,South Bay Union Elementary,KK-06,508.75,5518.702148,20.08452034,10.6024704,41.13329315,641.45
Shasta,Cascade Union Elementary,KK-08,87.13999939,5609.487793,19.91048813,10.52299976,1.383285284,641.55
Tulare,Kings River Union Elementary,KK-08,26.61000061,4945.031738,17.81285095,11.23799992,35.44303894,641.8
Tehama,Gerber Union Elementary,KK-08,30,5223.025391,18.13333321,10.05599976,8.639705658,642.2
Tulare,Exeter Union Elementary,KK-08,103.3700027,4757.025391,19.22221184,11.18299961,15.34977436,642.2
Fresno,American Union Elementary,KK-08,22.39999962,5522.161621,18.6607151,7.385000229,19.85645866,642.4
Monterey,San Antonio Union Elementary,KK-08,10,6087.608887,19.60000038,13.57900047,3.061224461,642.75
Tulare,Burton Elementary,KK-08,114.5,4960.515625,19.28384209,9.630000114,9.873188019,643.05
Riverside,Nuview Union Elementary,KK-08,55,4880.040527,22.81818199,15.27400017,16.09561729,643.2
Sonoma,Bellevue Union Elementary,KK-06,78.09999847,6538.417969,18.80921936,14.03425026,43.49897766,643.25
Los Angeles,Garvey Elementary,KK-08,332.8399963,4925.659668,21.37363243,10.23966694,45.03795242,643.4
Tehama,Corning Union Elementary,KK-08,98,5204.6875,20.02040863,9.484999657,18.19571877,643.4
San Mateo,Jefferson Elementary,KK-08,361,4907.410645,21.49861526,15.0298748,15.48769474,643.5
Siskiyou,Big Springs Union Elementary,KK-08,14,5923.45166,15.4285717,9.781000137,0.92592591,643.5
Kern,General Shafter Elementary,KK-08,10,4741.957031,22.39999962,13.19200039,7.589285851,643.7
Stanislaus,Turlock Joint Elementary,KK-08,391.8599854,4954.019531,20.12708664,12.2159996,29.08583832,643.7
San Mateo,Redwood City Elementary,KK-08,537.8800049,5360.51709,17.34215736,25.4873333,50.85763168,644.2
El Dorado,Camino Union Elementary,KK-08,32.20000076,5685.63916,17.01863289,14.86699963,11.49635029,644.4
Merced,Plainsburg Union Elementary,KK-08,5,5594.196289,20.79999924,9.972000122,13.46153927,644.45
San Joaquin,Banta Elementary,KK-08,13,4692.566895,21.15384674,14.57800007,4.727272511,644.45
Fresno,Washington Colony Elementary,KK-08,24,5085.40625,18.45833397,7.385000229,21.44469452,644.5
Sacramento,Rio Linda Union Elementary,KK-06,540.0499878,5456.197266,19.14082146,12.34300041,12.35368061,644.55
Stanislaus,Chatom Union Elementary,KK-08,41.52999878,5105.179688,19.40765762,12.43133259,30.14888382,644.7
Merced,Merced River Union Elementary,KK-08,11.60000038,5519.677246,19.568964,14.90600014,15.85902977,644.95
Ventura,Hueneme Elementary,KK-08,391.4200134,5065.911133,21.50119972,12.66989994,43.75,645.1
Humboldt,Cuddeback Union Elementary,KK-08,8.5,5182.428223,17.52941132,10.33300018,0,645.25
Humboldt,Blue Lake Union Elementary,KK-08,13.39000034,5960.464355,16.43017197,11.97200012,0,645.55
San Diego,Lemon Grove Elementary,KK-08,232.9700012,5124.836426,19.79653931,12.82699966,16.65221214,645.55
Lake,Upper Lake Union Elementary,KK-08,34.33000183,5655.133301,17.18613434,10.03999996,3.22033906,645.6
Humboldt,Peninsula Union Elementary,KK-08,7.550000191,5811.689941,17.61589432,13.33500004,0,645.75
Ventura,Ocean View Elementary,KK-08,121.2399979,5467.673828,20.12537193,9.854000092,48.52458954,645.75
Tehama,Reeds Creek Elementary,KK-08,6,5213.089355,22.16666603,11.42599964,0.751879692,646
Sacramento,Arcohe Union Elementary,KK-08,26,4613.1875,19.96153831,15.13099957,1.92678237,646.2
San Joaquin,New Jerusalem Elementary,KK-08,11.65999985,4886.983887,19.0394516,14.57800007,13.51351261,646.35
Siskiyou,Dunsmuir Elementary,KK-08,18.71999931,6455.136719,15.22435951,10.26799965,0,646.4
Stanislaus,Stanislaus Union Elementary,KK-08,147.9799957,5125.433105,21.1447506,15.59285736,16.71460533,646.5
Fresno,Kingsburg Joint Union Elementary,KK-08,102.7799988,5193.692383,19.64389992,11.23799992,5.943536282,646.55
Orange,Buena Park Elementary,KK-08,267,5002.838867,21.04868889,15.05137539,36.17437744,646.7
Orange,Westminster Elementary,KK-08,484.5,5337.625488,20.17543793,15.41317654,44.97186661,646.9
Kings,Island Union Elementary,KK-08,11.5,5161.202148,21.39130402,11.08100033,16.66666794,646.95
Tulare,Tulare City Elementary,KK-08,360.3500061,5158.791992,20.00832558,10.09799957,15.18723965,647.05
San Diego,Chula Vista Elementary,KK-06,1051.579956,5123.474121,20.2913723,14.29829979,34.33779907,647.25
Shasta,Black Butte Union Elementary,KK-08,27,5782.543945,17.66666603,11.80300045,0,647.3
Merced,McSwain Union Elementary,KK-08,39.90000153,4842.60791,18.22055054,9.972000122,13.06739998,647.6
Sutter,Franklin Elementary,KK-08,18.45000076,4219.40625,20.27100182,15.4090004,4.278074741,647.6
San Diego,Escondido Union Elementary,KK-08,903.7600098,5081.169922,20.198946,15.2937994,39.5946312,648
Los Angeles,East Whittier City Elementary,KK-08,410.9100037,5144.993652,21.38424492,15.53292847,21.66837311,648.2
Kern,Rio Bravo-Greeley Union Elementary,KK-08,38,4674.298828,20.97368431,16.29299927,3.262233257,648.25
Sutter,Marcum-Illinois Union Elementary,KK-08,7,4830.326172,20,12.875,7.857142925,648.35
San Diego,Vallecitos Elementary,KK-08,13.69999981,5621.687988,17.15328407,16.62299919,39.57446671,648.7
San Bernardino,Victor Elementary,KK-06,371.1000061,4948.868164,22.3497715,12.54988289,10.12780285,648.95
Orange,Savanna Elementary,KK-06,108.6600037,5100.975586,22.17007065,14.25857162,27.52179146,649.15
Sonoma,West Side Union Elementary,KK-06,8.25,5132.788574,18.18181801,18.32600021,14,649.3
Shasta,Enterprise Elementary,KK-08,210,5358.51709,18.95714378,12.74914265,8.842000008,649.5
Tehama,Red Bluff Union Elementary,KK-08,117.8000031,5149.186523,19.74533081,11.42599964,6.405846596,649.7
Tuolumne,Jamestown Elementary,KK-08,30.5,5373.206543,16.42622948,8.829999924,2.395209789,649.85
Siskiyou,Weed Union Elementary,KK-08,28.27000046,6485.166016,16.62539673,11.17599964,5.957447052,650.45
Humboldt,South Bay Union Elementary,KK-06,35.09999847,5504.025391,16.38176727,14.22799969,8.173913002,650.55
Contra Costa,Brentwood Union Elementary,KK-08,175.3000031,5105.734375,20.07415771,15.02700043,15.45893669,650.6
Tuolumne,Summerville Elementary,KK-08,26.34000015,5634.730957,17.99544334,10.52099991,0,650.65
Placer,Ophir Elementary,KK-08,11.5,4980.294434,19.39130402,18.62599945,0,650.9
Sonoma,Montgomery Elementary,KK-08,5.599999905,6113.859863,16.4285717,22.52899933,0,650.9
Sonoma,Santa Rosa Elementary,KK-06,297.1400146,5850,16.72948647,18.29838943,31.82458305,651.15
Stanislaus,Salida Union Elementary,KK-08,107.1949997,4547.944824,24.41345215,11.88574982,12.80091667,651.2
Shasta,Shasta Union Elementary,KK-08,13.25,5011.840332,18.26415062,9.925999641,0,651.35
Humboldt,Fortuna Union Elementary,KK-08,41.15000153,5261.370605,18.95504189,14.19699955,3.846153975,651.4
Tulare,Rockford  Elementary,KK-08,15.39999962,4276.115234,21.03896141,9.630000114,2.469135761,651.45
Glenn,Plaza Elementary,KK-08,6.75,4566.27002,20.74073982,10.63899994,10.71428585,651.8
Sonoma,Monte Rio Union Elementary,KK-08,10,6049.495117,18.10000038,14.47500038,0,651.85
Lassen,Janesville Union Elementary,KK-08,26,4974.28125,19.84615326,13.46700001,1.937984467,651.9
Imperial,Magnolia Union Elementary,KK-08,5,4432.478027,21.60000038,9.664999962,4.629629612,652
Lassen,Shaffer Union Elementary,KK-08,18.67000008,4924.619141,22.44242096,12.70800018,5.250596523,652.1
Orange,Fullerton Elementary,KK-08,546.0499878,4603.659668,23.01437569,17.82299995,27.54038239,652.1
Sonoma,Cinnabar Elementary,KK-06,16.17000008,5973.925293,17.74891853,17.15600014,14.98257828,652.3
Santa Barbara,Santa Barbara Elementary,KK-08,339.1000061,5215.943848,18.28664017,19.58963585,47.87937546,652.3
Humboldt,Rohnerville Elementary,KK-08,29.95000076,4882.236816,19.26544189,14.19699955,0,652.35
Sutter,Pleasant Grove Joint Union Elementary,KK-08,7.5,4145.835938,22.66666603,11.9119997,1.764706016,652.4
Shasta,Mountain Union Elementary,KK-08,8.5,7542.038086,19.29411697,13.38599968,0,652.4
Kern,South Fork Union Elementary,KK-08,22,5247.018066,17.36363602,11.5539999,0,652.5
San Diego,Jamul-Dulzura Union Elementary,KK-08,61.59999847,5169.814941,19.8214283,19.02599907,7.289107323,652.85
Santa Cruz,Live Oak Elementary,KK-08,108.3499985,5951.005859,20.43377876,16.40699959,17.02800369,653.1
Riverside,Menifee Union Elementary,KK-08,215,4746.572266,21.03720856,14.05799961,10.43555164,653.4
Kern,Lakeside Union Elementary,KK-08,39.79999924,4944.092285,19.92462349,19.06800079,2.269861221,653.5
Santa Clara,Whisman Elementary,KK-08,88.26999664,6306.487305,19.00985718,20.77000046,28.24791336,653.55
Imperial,McCabe Union Elementary,KK-08,22.5,4260.306641,23.82222176,10.26399994,8.768656731,653.55
San Joaquin,Lammersville Elementary,KK-08,15.85000038,4718.163086,19.36908531,14.57800007,7.491856575,653.7
Tehama,Lassen View Union Elementary,KK-08,17.5,4751.299805,19.82857132,10.20199966,9.798271179,653.8
Humboldt,Loleta Union Elementary,KK-08,11.01000023,5653.453613,15.25885487,12.50199986,12.5,653.85
Shasta,Junction Elementary,KK-08,31,5920.253418,17.16129112,13.90600014,0,653.95
Los Angeles,Rosemead Elementary,KK-08,150,4825.59082,21.81333351,9.986000061,31.20415497,654.1
Nevada,Grass Valley Elementary,KK-08,107.2099991,5532.582031,19.07471275,13.71199989,1.369193196,654.2
Tulare,Buena Vista Elementary,KK-08,6.050000191,3926.06958,25.78512383,10.09799957,9.615385056,654.2
Kern,Kernville Union Elementary,KK-08,61.99000168,5805.636719,18.21261406,11.29100037,0,654.3
Sacramento,Galt Joint Union Elementary,KK-08,201.9700012,4899.239746,18.16606331,13.22500038,24.25728989,654.6
San Benito,Southside Elementary,KK-08,9.25,4884.862305,16.97297287,13.63000011,9.554140091,654.85
San Diego,Lakeside Union Elementary,KK-08,229.1999969,5139.9375,21.50087357,14.62300014,5.92532444,654.85
Sutter,Nuestro Elementary,KK-08,5,5249.364746,20.60000038,8.776000023,0.970873773,654.9
Fresno,Alvina Elementary,KK-08,10.30000019,5399.070313,16.9902916,10.3380003,18.2857132,655.05
Contra Costa,Oakley Union Elementary,KK-08,199.8600006,4965.290039,20.77954483,16.32299995,4.984348774,655.05
Siskiyou,Etna Union Elementary,KK-06,18.04999924,6210.323242,15.51246643,10.65633297,4.285714626,655.05
San Joaquin,Jefferson Elementary,KK-08,43.5,4797.503418,19.88505745,14.57800007,3.352601051,655.2
Santa Clara,Berryessa Union Elementary,KK-08,408.2000122,5397.161621,21.39882278,18.63059998,32.70749664,655.3
Kings,Kit Carson Union Elementary,KK-08,20.10000038,5078.5,20.49751282,11.11600018,9.46601963,655.35
Stanislaus,Sylvan Union Elementary,KK-08,329.1199951,4733.746582,19.36375809,14.59766674,6.260787487,655.35
San Joaquin,Oak View Union Elementary,KK-08,18.79999924,4963.060059,17.65957451,15.49300003,13.25301266,655.4
Placer,Auburn Union Elementary,KK-08,138.1199951,5431.177246,21.01795578,16.27199936,3.169135332,655.55
San Benito,North County Joint Union Elementary,KK-08,29.64999962,5382.088867,19.0556488,13.63000011,16.9911499,655.7
El Dorado,Pioneer Union Elementary,KK-08,26,5724.441895,22.53846169,12.39400005,0.853242338,655.8
San Bernardino,Central Elementary,KK-08,240.1000061,4843.427246,21.10787201,15.33100033,6.649565697,655.85
Shasta,Pacheco Union Elementary,KK-08,42.84000015,5730.349121,20.05135345,12.66600037,0.116414435,656.4
Nevada,Chicago Park Elementary,KK-08,10.21000004,5635.786133,14.20176315,13.71199989,0,656.5
San Mateo,Brisbane Elementary,KK-08,35.125,5671.657227,18.47686768,17.78033447,6.933744431,656.55
Kings,Central Union Elementary,KK-08,96,7070.633301,18.63541603,10.55666733,9.558412552,656.65
Shasta,Happy Valley Union Elementary,KK-08,37,5097.343262,20.94594574,10.52299976,0.90322578,656.7
Calaveras,Mark Twain Union Elementary,KK-08,36.84999847,5482.677246,21.08548164,13.24300003,1.158301115,656.8
Marin,San Rafael City Elementary,KK-08,188.1999969,5642.832031,18.69288063,22.47299957,40.10801697,656.8
San Diego,Cajon Valley Union Elementary,KK-08,924.5700073,5280.023438,20.86807823,15.68465424,16.66321182,657
Santa Clara,Campbell Union Elementary,KK-08,386.4200134,5433.339844,19.82557678,23.48374939,21.95535851,657
Sutter,Browns Elementary,KK-08,8,4529.283691,19.75,11.64900017,8.860759735,657.15
Nevada,Clear Creek Elementary,KK-08,6,6039.98584,19.5,16.3560009,0.854700923,657.4
Humboldt,Trinidad Union Elementary,KK-08,8.699999809,6168.229492,18.39080429,14.07400036,0,657.5
Sonoma,Guerneville Elementary,KK-08,27.20000076,5774.970215,18.78676414,13.43700027,3.913894176,657.55
San Mateo,San Bruno Park Elementary,KK-08,140.1100006,4806.761719,19.77017975,18.33799934,11.94945908,657.65
Tehama,Antelope Elementary,KK-08,28.5,4840.936035,19.33333397,11.42599964,3.992740393,657.75
Orange,Centralia Elementary,KK-06,242.5,4954.466309,21.46391678,15.74991703,22.93948174,657.8
San Bernardino,Etiwanda Elementary,KK-08,278.8399963,4023.531738,23.08492279,15.77900028,2.485630035,657.9
Los Angeles,Wiseburn Elementary,KK-08,81.27999878,5179.411133,21.0629921,14.06200027,9.871495247,658
Humboldt,Scotia Union Elementary,KK-08,19.79999924,4385.229492,18.68686867,12.17399979,0.540540576,658.35
San Bernardino,Mountain View Elementary,KK-08,153.1999969,4777.512695,20.77023506,12.89999962,8.95663166,658.6
San Luis Obispo,Pleasant Valley Joint Union Elementary,KK-06,7.199999809,4862.790527,19.30555534,10.97099972,6.47481966,658.8
Santa Clara,Oak Grove Elementary,KK-08,588.8400269,5486.029785,20.13280296,17.43519974,20.72543144,659.05
El Dorado,Pollock Pines Elementary,KK-08,51.66999817,5486.382324,20.66963577,14.76000023,0.187265918,659.15
Los Angeles,Castaic Union Elementary,KK-08,103,4631.243652,22.28155327,14.60299969,13.98692894,659.35
Inyo,Bishop Union Elementary,KK-08,73.30000305,5189.62793,20.60027122,13.52233315,8.741721153,659.4
Santa Barbara,Buellton Union Elementary,KK-08,27.79999924,4600.606445,20.82733917,16.66900063,20.03454208,659.4
Madera,Chawanakee Jt. Elementary,KK-08,52.63999939,6735.775391,19.22492409,13.52225018,1.383399248,659.8
Siskiyou,Yreka Union Elementary,KK-08,68.65000153,5475.172852,17.6547699,12.51799965,2.062706232,659.9
Sonoma,Alexander Valley Union Elementary,KK-06,7,5990.794434,17,18.32600021,28.57143021,660.05
Nevada,Twin Ridges Elementary,KK-08,35.76250076,7203.246582,16.49772835,11.4659996,0.169491529,660.1
Tulare,Sundale Union Elementary,KK-08,27.60000038,4777.769043,19.78260803,10.09799957,13.73626423,660.2
Tulare,Three Rivers Union Elementary,KK-08,11.11999989,4302.834961,22.30215836,15.36499977,0,660.3
Tuolumne,Columbia Union Elementary,KK-08,26,5630.194824,17.73077011,10.3113327,0.21691975,660.75
Los Angeles,Westside Union Elementary,KK-08,308.6799927,4708.625,20.44836044,16.98662567,3.121039391,660.95
Merced,Ballico-Cressey Elementary,KK-08,13.98999977,5629.961426,20.37169456,9.612000465,47.36842346,661.35
San Mateo,Millbrae Elementary,KK-08,115.3000031,4890.986816,20.16478729,21.11050034,22.70967865,661.45
