respondentID,travel_frequency,recline,height,children,arm_rests,middle_arm_rest,window_shade,unsold_seat,talkative,get_up,recline_obligation,rude_recline,remove_recline,switch_friend,switch_family,wakeup_bathroom,wakeup_walk,baby,unruly_children,electronics,smoke,gender,age,income,education,college,region
29,Monthly,Once in a while,73,Yes,The person in the middle seat gets both arm rests,Other (please specify),Everyone in the row should have some say,No,Somewhat,Once,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,No,No,Somewhat,Somewhat,Somewhat,Somewhat,No,No,not_Female,31,>$150k,Graduate degree,college,Pacific
30,Weekly,Always,77,Yes,Other (please specify),Other (please specify),Everyone in the row should have some say,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,No,Yes,Yes,not_Female,58,$50-100k,Bachelor degree,college,South Atlantic
31,Weekly,Never,65,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,Yes,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Yes,not_Female,37,>$150k,High school degree,HS,New England
32,Daily,Usually,67,Yes,Whoever puts their arm on the arm rest first,The person in aisle,The person in the window seat should have exclusive control,Somewhat,Somewhat,Once,"No, the person on the flight has no obligation to the person behind them",Yes,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Yes,Yes,No,not_Female,20,<$25k,Some college or Associate degree,college,Pacific
33,Daily,Always,80,Yes,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,Yes,Yes,It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Female,41,$50-100k,Bachelor degree,college,Pacific
34,Daily,Once in a while,69,,The people in the aisle and window seats get both arm rests,The person in aisle,Everyone in the row should have some say,Somewhat,Somewhat,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,Somewhat,Somewhat,Somewhat,No,Somewhat,Somewhat,No,No,not_Female,26,$25-50k,Less than high school degree,HS,West South Central
35,Semiannually,About half the time,67,No,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,Somewhat,Yes,Yes,No,not_Female,39,$50-100k,Bachelor degree,college,Pacific
36,Semiannually,Once in a while,74,Yes,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Somewhat,Twice,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,Somewhat,No,No,No,No,Somewhat,No,No,not_Female,40,>$150k,Some college or Associate degree,college,Pacific
37,Semiannually,Usually,72,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Yes,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Yes,Somewhat,Yes,No,No,not_Female,43,$50-100k,High school degree,HS,Mountain
38,Semiannually,Once in a while,74,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,No,No,Yes,No,No,not_Female,32,$50-100k,Bachelor degree,college,East North Central
39,Semiannually,Once in a while,71,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,No,No,No,No,not_Female,20,$25-50k,Bachelor degree,college,Pacific
40,Semiannually,Usually,79,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Somewhat,Yes,No,not_Female,43,$100-150k,Graduate degree,college,Pacific
41,Semiannually,Usually,74,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,No,Yes,No,not_Female,38,<$25k,Graduate degree,college,Pacific
42,Semiannually,Once in a while,68,No,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,Somewhat,Somewhat,Yes,No,Somewhat,No,No,not_Female,27,$100-150k,Some college or Associate degree,college,Pacific
43,Semiannually,Once in a while,69,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,35,$100-150k,Graduate degree,college,East North Central
44,Semiannually,Once in a while,67,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Somewhat,No,Somewhat,No,No,not_Female,38,$100-150k,Graduate degree,college,West North Central
45,Semiannually,Once in a while,71,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,42,$100-150k,Bachelor degree,college,Pacific
46,Semiannually,Never,68,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,No,No,Somewhat,Yes,No,not_Female,39,$100-150k,Bachelor degree,college,Pacific
47,Semiannually,Always,70,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,No,Somewhat,No,Somewhat,No,No,not_Female,32,$100-150k,Bachelor degree,college,Mountain
48,Semiannually,Once in a while,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Yes,No,No,not_Female,74,$50-100k,Bachelor degree,college,East South Central
49,Semiannually,Usually,70,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Once,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Yes,No,Yes,No,No,not_Female,57,>$150k,Graduate degree,college,South Atlantic
50,Semiannually,Never,69,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Somewhat,Yes,Yes,Yes,No,not_Female,21,$50-100k,Some college or Associate degree,college,South Atlantic
51,Semiannually,Never,70,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,Somewhat,Somewhat,No,No,not_Female,54,$50-100k,Bachelor degree,college,Pacific
52,Semiannually,Usually,76,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,"No, the person on the flight has no obligation to the person behind them",Somewhat,No,No,No,Somewhat,Somewhat,Somewhat,Yes,No,No,not_Female,30,$50-100k,Some college or Associate degree,college,Pacific
53,Semiannually,Once in a while,70,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,61,$50-100k,Bachelor degree,college,Pacific
54,Semiannually,About half the time,71,No,The person in the middle seat gets both arm rests,Other (please specify),The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,Yes,Yes,No,not_Female,62,>$150k,Bachelor degree,college,Mountain
55,Semiannually,Usually,64,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Yes,No,No,Female,77,$50-100k,Graduate degree,college,East South Central
56,Semiannually,Once in a while,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,Somewhat,Somewhat,No,Somewhat,No,No,Female,71,>$150k,Graduate degree,college,East North Central
57,Semiannually,Once in a while,66,No,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,Yes,Somewhat,No,Somewhat,No,No,Female,67,$50-100k,High school degree,HS,West South Central
59,Semiannually,Always,69,No,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,Somewhat,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,No,Somewhat,No,Somewhat,No,No,not_Female,57,$25-50k,Some college or Associate degree,college,Middle Atlantic
60,Semiannually,About half the time,66,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,Somewhat,Somewhat,No,No,No,Somewhat,No,No,Female,74,>$150k,Bachelor degree,college,East North Central
61,Semiannually,Once in a while,62,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,Somewhat,No,No,Female,83,>$150k,Graduate degree,college,East North Central
62,Semiannually,Always,56,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,Yes,No,No,No,No,No,No,No,Female,33,$50-100k,Some college or Associate degree,college,West North Central
63,Semiannually,About half the time,63,No,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,Somewhat,Yes,Yes,No,not_Female,40,$25-50k,Less than high school degree,HS,Middle Atlantic
64,Semiannually,Usually,69,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Once,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,No,Somewhat,No,Yes,No,No,not_Female,76,$50-100k,Some college or Associate degree,college,South Atlantic
65,Semiannually,Usually,72,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,Somewhat,Yes,No,not_Female,20,<$25k,Some college or Associate degree,college,West South Central
66,Semiannually,Usually,67,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,No,No,Female,68,>$150k,Graduate degree,college,Pacific
67,Semiannually,Never,67,No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,Somewhat,Somewhat,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,No,No,Somewhat,Yes,No,Female,32,$50-100k,Some college or Associate degree,college,East North Central
68,Semiannually,About half the time,66,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,No,No,No,Female,82,$50-100k,Graduate degree,college,West South Central
69,Semiannually,About half the time,72,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,Somewhat,No,No,No,No,Somewhat,No,No,not_Female,57,>$150k,Bachelor degree,college,Middle Atlantic
70,Semiannually,Never,74,No,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",Yes,No,No,No,No,Yes,Yes,Somewhat,No,No,not_Female,76,$50-100k,Bachelor degree,college,East North Central
71,Semiannually,Usually,68,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Yes,No,Somewhat,No,No,Female,73,$100-150k,Graduate degree,college,Middle Atlantic
72,Semiannually,Once in a while,66,Yes,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,Somewhat,No,No,Somewhat,No,Somewhat,Yes,No,not_Female,41,$50-100k,Bachelor degree,college,New England
73,Semiannually,About half the time,68,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,No,Yes,Yes,No,not_Female,27,$50-100k,Some college or Associate degree,college,South Atlantic
74,Semiannually,Never,72,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,Somewhat,No,Yes,Yes,No,not_Female,75,$100-150k,Graduate degree,college,Pacific
75,Semiannually,Never,71,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,Yes,Yes,Yes,No,Somewhat,Somewhat,Yes,No,No,not_Female,68,$100-150k,Bachelor degree,college,Mountain
76,Semiannually,Never,76,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,No,Somewhat,Yes,No,No,not_Female,25,$25-50k,Bachelor degree,college,Pacific
77,Semiannually,Once in a while,64,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",No,Yes,Somewhat,No,No,Somewhat,Somewhat,Yes,Yes,No,Female,42,>$150k,Some college or Associate degree,college,East North Central
78,Semiannually,Always,70,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Yes,No,Yes,No,No,not_Female,75,>$150k,Graduate degree,college,South Atlantic
79,Semiannually,Once in a while,67,No,The people in the aisle and window seats get both arm rests,The person by the window,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,No,No,Somewhat,Yes,No,Yes,No,No,Female,49,>$150k,Graduate degree,college,South Atlantic
80,Semiannually,About half the time,75,No,The people in the aisle and window seats get both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,Somewhat,No,Somewhat,Somewhat,Somewhat,Somewhat,Yes,No,not_Female,51,$50-100k,Bachelor degree,college,Pacific
81,Semiannually,Usually,63,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,No,Yes,No,Female,34,$50-100k,Bachelor degree,college,Middle Atlantic
83,Semiannually,Once in a while,70,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Somewhat,No,No,No,No,Female,77,$100-150k,Bachelor degree,college,East North Central
84,Semiannually,About half the time,72,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Yes,No,No,Yes,No,not_Female,30,$50-100k,Graduate degree,college,East North Central
85,Semiannually,Once in a while,71,Yes,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Yes,No,Somewhat,No,No,not_Female,52,>$150k,Graduate degree,college,Middle Atlantic
86,Semiannually,Once in a while,72,No,Other (please specify),Other (please specify),Everyone in the row should have some say,No,Somewhat,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,No,No,Somewhat,No,No,not_Female,57,>$150k,Graduate degree,college,East South Central
87,Semiannually,Usually,70,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,Yes,Yes,No,No,not_Female,43,$25-50k,Graduate degree,college,West South Central
89,Semiannually,Usually,69,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,No,No,Somewhat,Somewhat,No,Somewhat,No,No,Female,52,$50-100k,Bachelor degree,college,Pacific
90,Semiannually,About half the time,63,No,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,No,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,Somewhat,Somewhat,Somewhat,Yes,Somewhat,Yes,No,No,Female,38,>$150k,Graduate degree,college,Pacific
91,Semiannually,Once in a while,65,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,Somewhat,Somewhat,No,Somewhat,Somewhat,Yes,No,No,Female,69,$50-100k,Graduate degree,college,South Atlantic
92,Semiannually,Once in a while,64,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,Somewhat,No,No,Female,30,>$150k,Bachelor degree,college,West South Central
93,Semiannually,Always,67,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,Somewhat,Yes,No,No,Female,52,$100-150k,Bachelor degree,college,
94,Semiannually,Once in a while,63,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Yes,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,No,No,No,No,No,Female,39,>$150k,Graduate degree,college,West South Central
95,Semiannually,Always,60,No,Other (please specify),The arm rests should be shared,Everyone in the row should have some say,No,Yes,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Somewhat,No,Yes,No,No,Female,51,$100-150k,Bachelor degree,college,Middle Atlantic
96,Semiannually,Once in a while,72,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Yes,No,Yes,No,No,not_Female,58,$100-150k,Bachelor degree,college,West North Central
97,Semiannually,About half the time,63,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,Somewhat,Yes,No,No,Female,49,$100-150k,Graduate degree,college,Pacific
98,Semiannually,Once in a while,72,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,No,Yes,No,not_Female,34,>$150k,Graduate degree,college,West South Central
