Name,survived,sex,age,passengerClass
"Bowenur, Mr. Solomon",no,male,Adult,2nd
"Bowerman, Miss. Elsie Edith",yes,female,Adult,1st
"Bracken, Mr. James H",no,male,Adult,2nd
"Bradley, Miss. Bridget Delia",yes,female,Adult,3rd
"Bradley, Mr. George (George Ar",yes,male,Child,1st
"Brady, Mr. John Bertram",no,male,Adult,1st
"Braf, Miss. Elin Ester Maria",no,female,Youth,3rd
"Brandeis, Mr. Emil",no,male,Adult,1st
"Braund, Mr. Lewis Richard",no,male,Adult,3rd
"Braund, Mr. Owen Harris",no,male,Adult,3rd
"Brewe, Dr. Arthur Jackson",no,male,Child,1st
"Brobeck, Mr. Karl Rudolf",no,male,Adult,3rd
"Brocklebank, Mr. William Alfred",no,male,Adult,3rd
"Brown, Miss. Amelia Mildred",yes,female,Adult,2nd
"Brown, Miss. Edith Eileen",yes,female,Youth,2nd
"Brown, Mr. Thomas William Solom",no,male,Old,2nd
"Brown, Mrs. James Joseph (Marga",yes,female,Adult,1st
"Brown, Mrs. John Murray (Caroli",yes,female,Adult,1st
"Brown, Mrs. Thomas William Solo",yes,female,Adult,2nd
"Bryhl, Miss. Dagmar Jenny Ingeb",yes,female,Youth,2nd
"Bryhl, Mr. Kurt Arnold Gottfrid",no,male,Adult,2nd
"Buckley, Miss. Katherine",no,female,Youth,3rd
"Buckley, Mr. Daniel",yes,male,Adult,3rd
"Bucknell, Mrs. William Robert (",yes,female,Old,1st
"Burke, Mr. Jeremiah",no,male,Youth,3rd
"Burns, Miss. Elizabeth Margaret",yes,female,Adult,1st
"Burns, Miss. Mary Delia",no,female,Youth,3rd
"Buss, Miss. Kate",yes,female,Adult,2nd
"Butler, Mr. Reginald Fenton",no,male,Adult,2nd
"Butt, Major. Archibald Willingh",no,male,Adult,1st
"Byles, Rev. Thomas Roussel Davi",no,male,Adult,2nd
"Bystrom, Mrs. (Karolina)",yes,female,Adult,2nd
"Cacic, Miss. Manda",no,female,Adult,3rd
"Cacic, Miss. Marija",no,female,Adult,3rd
"Cacic, Mr. Jego Grga",no,male,Youth,3rd
"Cacic, Mr. Luka",no,male,Adult,3rd
"Cairns, Mr. Alexander",no,male,Child,1st
"Calderhead, Mr. Edward Penningt",yes,male,Adult,1st
"Caldwell, Master. Alden Gates",yes,male,Child,2nd
"Caldwell, Mr. Albert Francis",yes,male,Adult,2nd
"Caldwell, Mrs. Albert Francis (",yes,female,Adult,2nd
"Calic, Mr. Jovo",no,male,Youth,3rd
"Calic, Mr. Petar",no,male,Youth,3rd
"Cameron, Miss. Clear Annie",yes,female,Adult,2nd
"Campbell, Mr. William",no,male,Child,2nd
"Canavan, Miss. Mary",no,female,Adult,3rd
"Canavan, Mr. Patrick",no,male,Adult,3rd
"Candee, Mrs. Edward (Helen Chur",yes,female,Adult,1st
"Cann, Mr. Ernest Charles",no,male,Adult,3rd
"Caram, Mr. Joseph",no,male,Child,3rd
"Caram, Mrs. Joseph (Maria Elias",no,female,Child,3rd
"Carbines, Mr. William",no,male,Youth,2nd
"Cardeza, Mr. Thomas Drake Marti",yes,male,Adult,1st
"Cardeza, Mrs. James Warburton M",yes,female,Adult,1st
"Carlsson, Mr. August Sigfrid",no,male,Adult,3rd
"Carlsson, Mr. Carl Robert",no,male,Adult,3rd
"Carlsson, Mr. Frans Olof",no,male,Adult,1st
"Carr, Miss. Helen Ellen",yes,female,Youth,3rd
"Carr, Miss. Jeannie",no,female,Adult,3rd
"Carrau, Mr. Francisco M",no,male,Adult,1st
"Carrau, Mr. Jose Pedro",no,male,Youth,1st
"Carter, Master. William Thornto",yes,male,Child,1st
"Carter, Miss. Lucile Polk",yes,female,Youth,1st
"Carter, Mr. William Ernest",yes,male,Adult,1st
"Carter, Mrs. Ernest Courtenay (",no,female,Adult,2nd
"Carter, Mrs. William Ernest (Lu",yes,female,Adult,1st
"Carter, Rev. Ernest Courtenay",no,male,Adult,2nd
"Carver, Mr. Alfred John",no,male,Adult,3rd
"Case, Mr. Howard Brown",no,male,Adult,1st
"Cassebeer, Mrs. Henry Arthur Jr",yes,female,Child,1st
"Cavendish, Mr. Tyrell William",no,male,Adult,1st
"Cavendish, Mrs. Tyrell William",yes,female,Old,1st
"Celotti, Mr. Francesco",no,male,Adult,3rd
"Chaffee, Mr. Herbert Fuller",no,male,Adult,1st
"Chaffee, Mrs. Herbert Fuller (C",yes,female,Adult,1st
"Chambers, Mr. Norman Campbell",yes,male,Adult,1st
"Chambers, Mrs. Norman Campbell",yes,female,Adult,1st
"Chapman, Mr. Charles Henry",no,male,Adult,2nd
"Chapman, Mr. John Henry",no,male,Adult,2nd
"Chapman, Mrs. John Henry (Sara",no,female,Adult,2nd
"Charters, Mr. David",no,male,Adult,3rd
"Chaudanson, Miss. Victorine",yes,female,Adult,1st
"Cherry, Miss. Gladys",yes,female,Adult,1st
"Chevre, Mr. Paul Romaine",yes,male,Adult,1st
"Chibnall, Mrs. (Edith Martha Bo",yes,female,Child,1st
"Chip, Mr. Chang",yes,male,Adult,3rd
"Chisholm, Mr. Roderick Robert C",no,male,Child,1st
"Christmann, Mr. Emil",no,male,Adult,3rd
"Christy, Miss. Julie Rachel",yes,female,Adult,2nd
"Christy, Mrs. (Alice Frances)",yes,female,Adult,2nd
"Chronopoulos, Mr. Apostolos",no,male,Adult,3rd
"Chronopoulos, Mr. Demetrios",no,male,Youth,3rd
"Clark, Mr. Walter Miller",no,male,Adult,1st
"Clark, Mrs. Walter Miller (Virg",yes,female,Adult,1st
"Clarke, Mr. Charles Valentine",no,male,Adult,2nd
"Clarke, Mrs. Charles V (Ada Mar",yes,female,Adult,2nd
"Cleaver, Miss. Alice",yes,female,Adult,1st
"Clifford, Mr. George Quincy",no,male,Child,1st
"Coelho, Mr. Domingos Fernandeo",no,male,Youth,3rd
"Cohen, Mr. Gurshon Gus",yes,male,Youth,3rd
"Colbert, Mr. Patrick",no,male,Adult,3rd
"Coleff, Mr. Peju",no,male,Adult,3rd
"Coleff, Mr. Satio",no,male,Adult,3rd
"Coleridge, Mr. Reginald Charles",no,male,Adult,2nd
"Collander, Mr. Erik Gustaf",no,male,Adult,2nd
"Collett, Mr. Sidney C Stuart",yes,male,Adult,2nd
"Colley, Mr. Edward Pomeroy",no,male,Adult,1st
"Collyer, Miss. Marjorie Lottie",yes,female,Child,2nd
"Collyer, Mr. Harvey",no,male,Adult,2nd
"Collyer, Mrs. Harvey (Charlotte",yes,female,Adult,2nd
"Compton, Miss. Sara Rebecca",yes,female,Adult,1st
"Compton, Mr. Alexander Taylor J",no,male,Adult,1st
"Compton, Mrs. Alexander Taylor",yes,female,Old,1st
"Conlon, Mr. Thomas Henry",no,male,Adult,3rd
"Connaghton, Mr. Michael",no,male,Adult,3rd
"Connolly, Miss. Kate (A)",yes,female,Adult,3rd
"Connolly, Miss. Kate (B)",no,female,Adult,3rd
"Connors, Mr. Patrick",no,male,Old,3rd
"Cook, Mr. Jacob",no,male,Adult,3rd
"Cook, Mrs. (Selena Rogers)",yes,female,Adult,2nd
"Cor, Mr. Bartol",no,male,Adult,3rd
"Cor, Mr. Ivan",no,male,Adult,3rd
"Cor, Mr. Liudevit",no,male,Youth,3rd
"Corbett, Mrs. Walter H (Irene C",no,female,Adult,2nd
"Corey, Mrs. Percy C (Mary Phyll",no,female,Child,2nd
"Corn, Mr. Harry",no,male,Adult,3rd
"Cornell, Mrs. Robert Clifford (",yes,female,Adult,1st
"Cotterill, Mr. Henry Harry",no,male,Adult,2nd
"Coutts, Master. Eden Leslie Ne",yes,male,Child,3rd
"Coutts, Master. William Loch W",yes,male,Child,3rd
"Coutts, Mrs. William (Winnie M",yes,female,Adult,3rd
"Coxon, Mr. Daniel",no,male,Adult,3rd
"Crafton, Mr. John Bertram",no,male,Child,1st
"Crease, Mr. Ernest James",no,male,Youth,3rd
"Cribb, Miss. Laura Alice",yes,female,Youth,3rd
"Cribb, Mr. John Hatfield",no,male,Adult,3rd
"Crosby, Capt. Edward Gifford",no,male,Old,1st
"Crosby, Miss. Harriet R",yes,female,Adult,1st
"Crosby, Mrs. Edward Gifford (Ca",yes,female,Old,1st
"Culumovic, Mr. Jeso",no,male,Youth,3rd
"Cumings, Mr. John Bradley",no,male,Adult,1st
"Cumings, Mrs. John Bradley (Flo",yes,female,Adult,1st
"Cunningham, Mr. Alfred Fleming",no,male,Child,2nd
"Daher, Mr. Shedid",no,male,Adult,3rd
"Dahl, Mr. Karl Edwart",yes,male,Adult,3rd
"Dahlberg, Miss. Gerda Ulrika",no,female,Adult,3rd
"Dakic, Mr. Branko",no,male,Youth,3rd
"Daly, Miss. Margaret Marcella ",yes,female,Adult,3rd
"Daly, Mr. Eugene Patrick",yes,male,Adult,3rd
"Daly, Mr. Peter Denis",yes,male,Adult,1st
"Danbom, Master. Gilbert Sigvard",no,male,Child,3rd
"Danbom, Mr. Ernst Gilbert",no,male,Adult,3rd
"Danbom, Mrs. Ernst Gilbert (Ann",no,female,Adult,3rd
"Daniel, Mr. Robert Williams",yes,male,Adult,1st
"Daniels, Miss. Sarah",yes,female,Adult,1st
"Danoff, Mr. Yoto",no,male,Adult,3rd
"Dantcheff, Mr. Ristiu",no,male,Adult,3rd
"Davidson, Mr. Thornton",no,male,Adult,1st
"Davidson, Mrs. Thornton (Orian",yes,female,Adult,1st
"Davies, Master. John Morgan Jr",yes,male,Child,2nd
"Davies, Mr. Alfred J",no,male,Adult,3rd
"Davies, Mr. Charles Henry",no,male,Youth,2nd
"Davies, Mr. Evan",no,male,Adult,3rd
"Davies, Mr. John Samuel",no,male,Adult,3rd
"Davies, Mr. Joseph",no,male,Youth,3rd
"Davies, Mrs. John Morgan (Eliza",yes,female,Adult,2nd
"Davis, Miss. Mary",yes,female,Adult,2nd
"Davison, Mr. Thomas Henry",no,male,Child,3rd
"Davison, Mrs. Thomas Henry (Mar",yes,female,Child,3rd
"de Brito, Mr. Jose Joaquim",no,male,Adult,2nd
"de Messemaeker, Mr. Guillaume J",yes,male,Adult,3rd
"de Messemaeker, Mrs. Guillaume",yes,female,Adult,3rd
"de Mulder, Mr. Theodore",yes,male,Adult,3rd
"de Pelsmaeker, Mr. Alfons",no,male,Youth,3rd
"Deacon, Mr. Percy William",no,male,Youth,2nd
"Dean, Master. Bertram Vere",yes,male,Child,3rd
"Dean, Miss. Elizabeth Gladys M",yes,female,Child,3rd
"Dean, Mr. Bertram Frank",no,male,Adult,3rd
"Dean, Mrs. Bertram (Eva Georget",yes,female,Adult,3rd
"del Carlo, Mr. Sebastiano",no,male,Adult,2nd
"del Carlo, Mrs. Sebastiano (Arg",yes,female,Adult,2nd
"Delalic, Mr. Redjo",no,male,Adult,3rd
"Demetri, Mr. Marinko",no,male,Child,3rd
"Denbury, Mr. Herbert",no,male,Adult,2nd
"Denkoff, Mr. Mitto",no,male,Child,3rd
"Dennis, Mr. Samuel",no,male,Adult,3rd
"Dennis, Mr. William",no,male,Adult,3rd
"Devaney, Miss. Margaret Delia",yes,female,Youth,3rd
"Dibden, Mr. William",no,male,Youth,2nd
"Dick, Mr. Albert Adrian",yes,male,Adult,1st
"Dick, Mrs. Albert Adrian (Vera",yes,female,Youth,1st
"Dika, Mr. Mirko",no,male,Youth,3rd
"Dimic, Mr. Jovan",no,male,Adult,3rd
"Dintcheff, Mr. Valtcho",no,male,Adult,3rd
"Dodge, Dr. Washington",yes,male,Adult,1st
"Dodge, Master. Washington",yes,male,Child,1st
"Dodge, Mrs. Washington (Ruth Vi",yes,female,Adult,1st
"Doharr, Mr. Tannous",no,male,Child,3rd
"Doling, Miss. Elsie",yes,female,Youth,2nd
"Doling, Mrs. John T (Ada Julia",yes,female,Adult,2nd
"Dooley, Mr. Patrick",no,male,Adult,3rd
"Dorking, Mr. Edward Arthur",yes,male,Youth,3rd
"Douglas, Mr. Walter Donald",no,male,Adult,1st
"Douglas, Mrs. Frederick Charles",yes,female,Adult,1st
"Douglas, Mrs. Walter Donald (Ma",yes,female,Adult,1st
"Dowdell, Miss. Elizabeth",yes,female,Adult,3rd
"Downton, Mr. William James",no,male,Adult,2nd
"Doyle, Miss. Elizabeth",no,female,Adult,3rd
"Drapkin, Miss. Jennie",yes,female,Adult,3rd
"Drazenoic, Mr. Jozef",no,male,Adult,3rd
"Drew, Master. Marshall Brines",yes,male,Child,2nd
"Drew, Mr. James Vivian",no,male,Adult,2nd
"Drew, Mrs. James Vivian (Lulu T",yes,female,Adult,2nd
"Duane, Mr. Frank",no,male,Old,3rd
"Duff Gordon, Lady. (Lucille Chr",yes,female,Adult,1st
"Duff Gordon, Sir. Cosmo Edmund",yes,male,Adult,1st
"Dulles, Mr. William Crothers",no,male,Adult,1st
"Duquemin, Mr. Joseph",yes,male,Adult,3rd
"Duran y More, Miss. Asuncion",yes,female,Adult,2nd
"Duran y More, Miss. Florentina",yes,female,Adult,2nd
"Dyker, Mr. Adolf Fredrik",no,male,Adult,3rd
"Dyker, Mrs. Adolf Fredrik (Anna",yes,female,Adult,3rd
"Earnshaw, Mrs. Boulton (Olive P",yes,female,Adult,1st
"Edvardsson, Mr. Gustaf Hjalmar",no,male,Youth,3rd
"Eitemiller, Mr. George Floyd",no,male,Adult,2nd
"Eklund, Mr. Hans Linus",no,male,Youth,3rd
"Ekstrom, Mr. Johan",no,male,Adult,3rd
"Elias, Mr. Dibo",no,male,Child,3rd
"Elias, Mr. Joseph",no,male,Adult,3rd
"Elias, Mr. Joseph Jr",no,male,Youth,3rd
"Elias, Mr. Tannous",no,male,Youth,3rd
"Elsbury, Mr. William James",no,male,Adult,3rd
"Emanuel, Miss. Virginia Ethel",yes,female,Child,3rd
"Emir, Mr. Farred Chehab",no,male,Child,3rd
"Enander, Mr. Ingvar",no,male,Adult,2nd
"Endres, Miss. Caroline Louise",yes,female,Adult,1st
"Eustis, Miss. Elizabeth Mussey",yes,female,Adult,1st
"Evans, Miss. Edith Corse",no,female,Adult,1st
"Everett, Mr. Thomas James",no,male,Adult,3rd
"Fahlstrom, Mr. Arne Jonas",no,male,Youth,2nd
"Farrell, Mr. James",no,male,Adult,3rd
"Farthing, Mr. John",no,male,Child,1st
"Faunthorpe, Mr. Harry",no,male,Adult,2nd
"Faunthorpe, Mrs. Lizzie (Elizab",yes,female,Adult,2nd
"Fillbrook, Mr. Joseph Charles",no,male,Youth,2nd
"Finoli, Mr. Luigi",yes,male,Child,3rd
"Fischer, Mr. Eberhard Thelander",no,male,Youth,3rd
"Flegenheim, Mrs. Alfred (Antoin",yes,female,Child,1st
"Fleming, Miss. Honora",no,female,Child,3rd
"Fleming, Miss. Margaret",yes,female,Child,1st
"Flynn, Mr. James",no,male,Child,3rd
"Flynn, Mr. John",no,male,Child,3rd
"Flynn, Mr. John Irwin (Irving",yes,male,Adult,1st
"Foley, Mr. Joseph",no,male,Adult,3rd
"Foley, Mr. William",no,male,Child,3rd
"Foo, Mr. Choong",yes,male,Child,3rd
"Ford, Miss. Doolina Margaret D",no,female,Adult,3rd
"Ford, Miss. Robina Maggie Ruby",no,female,Child,3rd
"Ford, Mr. Arthur",no,male,Child,3rd
"Ford, Mr. Edward Watson",no,male,Youth,3rd
"Ford, Mr. William Neal",no,male,Youth,3rd
"Ford, Mrs. Edward (Margaret Ann",no,female,Adult,3rd
"Foreman, Mr. Benjamin Laventall",no,male,Adult,1st
"Fortune, Miss. Alice Elizabeth",yes,female,Adult,1st
"Fortune, Miss. Ethel Flora",yes,female,Adult,1st
"Fortune, Miss. Mabel Helen",yes,female,Adult,1st
"Fortune, Mr. Charles Alexander",no,male,Youth,1st
"Fortune, Mr. Mark",no,male,Old,1st
"Fortune, Mrs. Mark (Mary McDoug",yes,female,Old,1st
"Fox, Mr. Patrick",no,male,Child,3rd
"Fox, Mr. Stanley Hubert",no,male,Adult,2nd
"Francatelli, Miss. Laura Mabel",yes,female,Adult,1st
"Franklin, Mr. Charles (Charles",no,male,Child,3rd
"Franklin, Mr. Thomas Parham",no,male,Child,1st
"Frauenthal, Dr. Henry William",yes,male,Adult,1st
"Frauenthal, Mr. Isaac Gerald",yes,male,Adult,1st
"Frauenthal, Mrs. Henry William",yes,female,Child,1st
"Frolicher-Stehli, Mr. Maxmillia",yes,male,Old,1st
"Frolicher-Stehli, Mrs. Maxmilli",yes,female,Adult,1st
"Frolicher, Miss. Hedwig Margari",yes,female,Adult,1st
"Frost, Mr. Anthony Wood Archie",no,male,Child,2nd
"Fry, Mr. Richard",no,male,Child,1st
"Funk, Miss. Annie Clemmer",no,female,Adult,2nd
"Futrelle, Mr. Jacques Heath",no,male,Adult,1st
"Futrelle, Mrs. Jacques Heath (L",yes,female,Adult,1st
"Fynney, Mr. Joseph J",no,male,Adult,2nd
"Gale, Mr. Harry",no,male,Adult,2nd
"Gale, Mr. Shadrach",no,male,Adult,2nd
"Gallagher, Mr. Martin",no,male,Adult,3rd
"Garfirth, Mr. John",no,male,Child,3rd
"Garside, Miss. Ethel",yes,female,Adult,2nd
"Gaskell, Mr. Alfred",no,male,Youth,2nd
"Gavey, Mr. Lawrence",no,male,Adult,2nd
"Gee, Mr. Arthur H",no,male,Adult,1st
"Geiger, Miss. Amalie",yes,female,Adult,1st
"Gheorgheff, Mr. Stanio",no,male,Child,3rd
"Gibson, Miss. Dorothy Winifred",yes,female,Adult,1st
"Gibson, Mrs. Leonard (Pauline C",yes,female,Adult,1st
"Giglio, Mr. Victor",no,male,Adult,1st
"Gilbert, Mr. William",no,male,Adult,2nd
"Giles, Mr. Edgar",no,male,Adult,2nd
"Giles, Mr. Frederick Edward",no,male,Adult,2nd
"Giles, Mr. Ralph",no,male,Adult,2nd
"Gilinski, Mr. Eliezer",no,male,Adult,3rd
"Gill, Mr. John William",no,male,Adult,2nd
"Gillespie, Mr. William Henry",no,male,Adult,2nd
"Gilnagh, Miss. Katherine Katie",yes,female,Youth,3rd
"Givard, Mr. Hans Kristensen",no,male,Adult,2nd
"Glynn, Miss. Mary Agatha",yes,female,Child,3rd
"Goldenberg, Mr. Samuel L",yes,male,Adult,1st
"Goldenberg, Mrs. Samuel L (Edwi",yes,female,Child,1st
"Goldschmidt, Mr. George B",no,male,Old,1st
"Goldsmith, Master. Frank John W",yes,male,Child,3rd
"Goldsmith, Mr. Frank John",no,male,Adult,3rd
"Goldsmith, Mr. Nathan",no,male,Adult,3rd
"Goldsmith, Mrs. Frank John (Emi",yes,female,Adult,3rd
"Goncalves, Mr. Manuel Estanslas",no,male,Adult,3rd
"Goodwin, Master. Harold Victor",no,male,Child,3rd
"Goodwin, Master. Sidney Leonard",no,male,Child,3rd
"Goodwin, Master. William Freder",no,male,Child,3rd
"Goodwin, Miss. Jessie Allis",no,female,Child,3rd
"Goodwin, Miss. Lillian Amy",no,female,Youth,3rd
"Goodwin, Mr. Charles Edward",no,male,Youth,3rd
"Goodwin, Mr. Charles Frederick",no,male,Adult,3rd
"Goodwin, Mrs. Frederick (August",no,female,Adult,3rd
"Gracie, Col. Archibald IV",yes,male,Adult,1st
"Graham, Miss. Margaret Edith",yes,female,Youth,1st
"Graham, Mr. George Edward",no,male,Adult,1st
"Graham, Mrs. William Thompson (",yes,female,Adult,1st
"Green, Mr. George Henry",no,male,Adult,3rd
"Greenberg, Mr. Samuel",no,male,Adult,2nd
"Greenfield, Mr. William Bertram",yes,male,Adult,1st
"Greenfield, Mrs. Leo David (Bla",yes,female,Adult,1st
"Gronnestad, Mr. Daniel Danielse",no,male,Adult,3rd
