attended,missed,final,homework,freshman,sophomore,termGPA,priorGPA,ACT
31,1,67,100,TRUE,FALSE,3,1.5,20
32,0,75,100,FALSE,FALSE,3.089999914,2.589999914,23
25,7,68,50,FALSE,TRUE,2.130000114,2.349999905,20
26,6,68,12.5,TRUE,FALSE,2.640000105,2.019999981,27
16,16,57,62.5,FALSE,FALSE,0.462000012,1.950000048,19
29,3,71,100,TRUE,FALSE,3.5,3.039999962,27
22,10,63,12.5,TRUE,FALSE,0.699999988,2.069999933,28
28,4,65,100,FALSE,TRUE,3.119999886,3.210000038,24
25,7,68,100,FALSE,TRUE,3,3.289999962,28
28,4,64,87.5,FALSE,TRUE,2.690000057,2.839999914,23
28,4,68,87.5,FALSE,FALSE,2.5,2.380000114,16
19,13,60,87.5,FALSE,TRUE,2.180000067,2.950000048,29
30,2,61,87.5,FALSE,TRUE,1.610000014,2.049999952,23
31,1,81,87.5,FALSE,FALSE,3.880000114,3.589999914,27
24,8,68,75,FALSE,TRUE,3,1.809999943,22
32,0,77,100,FALSE,TRUE,3,3.180000067,25
31,1,72,100,FALSE,FALSE,1.75,2.210000038,20
31,1,72,100,FALSE,TRUE,3.119999886,2.960000038,22
31,1,70,100,FALSE,TRUE,3.109999895,2.829999924,24
2,30,56,37.5,FALSE,TRUE,0,2.25,25
32,0,84,87.5,FALSE,TRUE,2.609999895,2.660000086,17
21,11,60,87.5,FALSE,FALSE,2.079999924,1.99000001,24
28,4,65,100,FALSE,TRUE,3.190000057,2.299999952,19
32,0,84,87.5,FALSE,TRUE,3.730000019,3.809999943,32
13,19,60,87.5,FALSE,TRUE,2.460000038,3.039999962,24
32,2,65,87.5,FALSE,TRUE,2.710000038,2.660000086,21
14,18,53,87.5,TRUE,FALSE,1.110000014,1.200000048,25
32,0,85,100,FALSE,TRUE,4,3.930000067,25
30,2,74,100,FALSE,TRUE,2.829999924,2.799999952,24
10,22,53,50,FALSE,TRUE,1.600000024,2.289999962,24
31,1,80,100,FALSE,FALSE,3.269999981,2.470000029,25
32,0,73,100,FALSE,FALSE,3.069999933,2.890000105,26
29,3,73,100,FALSE,TRUE,3.210000038,3.450000048,30
30,2,61,87.5,FALSE,TRUE,2,2.069999933,23
26,6,64,100,FALSE,TRUE,2,1.799999952,16
25,7,58,100,FALSE,TRUE,2.039999962,2.390000105,21
32,0,71,100,FALSE,TRUE,2.859999895,2.410000086,17
32,0,79,100,FALSE,TRUE,3.339999914,3.140000105,25
15,17,56,50,FALSE,TRUE,1.350000024,1.590000033,31
28,4,60,100,FALSE,FALSE,2.880000114,2.819999933,25
27,5,64,87.5,FALSE,TRUE,2.25,2.109999895,15
25,7,60,100,FALSE,TRUE,2.140000105,2.119999886,16
29,3,69,100,FALSE,TRUE,2.730000019,2.549999952,24
30,2,83,87.5,FALSE,TRUE,3.710000038,3.220000029,27
32,0,68,100,FALSE,TRUE,3.569999933,2.839999914,19
31,1,69,100,FALSE,TRUE,2.599999905,2.660000086,21
30,2,72,100,FALSE,TRUE,2.589999914,2.450000048,25
26,6,59,100,FALSE,TRUE,2.150000095,2.960000038,16
27,5,65,87.5,FALSE,TRUE,1.75,2.200000048,20
32,0,87,100,FALSE,TRUE,3.680000067,3.319999933,23
31,1,68,100,FALSE,TRUE,3.430000067,3.5,23
31,1,74,87.5,FALSE,TRUE,3.210000038,2.680000067,26
12,20,56,50,FALSE,TRUE,2.319999933,2.579999924,23
24,8,60,100,FALSE,TRUE,2.640000105,2.269999981,21
30,2,62,100,FALSE,TRUE,2.920000076,2.559999943,16
28,4,66,100,TRUE,FALSE,2.150000095,2.279999971,23
30,2,70,75,TRUE,FALSE,1.539999962,1.940000057,21
24,8,64,50,FALSE,TRUE,1.75999999,2.119999886,23
31,1,67,100,TRUE,FALSE,2.789999962,2.670000076,17
25,7,59,100,FALSE,FALSE,2.559999943,2.710000038,24
27,5,58,87.5,TRUE,FALSE,2.640000105,2.559999943,19
31,1,67,100,FALSE,TRUE,2.309999943,2.779999971,23
24,8,69,100,TRUE,FALSE,2.970000029,2.369999886,22
21,11,57,50,FALSE,FALSE,1.830000043,2.029999971,17
31,1,70,100,FALSE,TRUE,2.400000095,3.019999981,23
32,0,78,100,FALSE,TRUE,4,3.069999933,19
28,4,69,100,TRUE,FALSE,3.5,2.589999914,19
21,11,57,37.5,TRUE,FALSE,1.879999995,2.269999981,27
29,3,68,62.5,FALSE,FALSE,1.620000005,2.569999933,21
28,4,59,100,FALSE,FALSE,2.25,2.390000105,16
32,0,78,100,FALSE,TRUE,3.569999933,3.539999962,19
31,1,78,100,FALSE,TRUE,3.619999886,3.480000019,24
32,0,65,100,FALSE,FALSE,2.5,2.619999886,24
29,3,61,100,FALSE,TRUE,2.119999886,2.460000038,21
14,18,64,62.5,TRUE,FALSE,1.799999952,1.190000057,24
28,4,61,100,TRUE,FALSE,2.539999962,2.390000105,19
29,3,74,100,FALSE,TRUE,3.640000105,3.079999924,17
30,2,71,100,TRUE,FALSE,3.130000114,2.680000067,23
26,6,73,100,FALSE,TRUE,3.359999895,1.779999971,23
26,6,59,100,FALSE,TRUE,2.230000019,1.830000043,18
32,0,75,100,FALSE,TRUE,3.5,2.829999924,22
32,0,79,100,FALSE,TRUE,2.849999905,1.909999967,20
31,1,75,75,FALSE,FALSE,2.690000057,3.019999981,26
25,7,58,62.5,FALSE,TRUE,3.099999905,2.869999886,26
21,11,58,100,TRUE,FALSE,2.309999943,2.170000076,22
25,7,64,62.5,TRUE,FALSE,2.380000114,2.150000095,23
23,9,69,100,FALSE,TRUE,2.970000029,2.619999886,20
30,2,62,100,TRUE,FALSE,1.940000057,2.660000086,23
26,6,63,100,FALSE,TRUE,2.5,2.859999895,23
24,8,62,100,FALSE,TRUE,1.5,2.099999905,17
30,2,70,100,TRUE,FALSE,2.5,2.650000095,20
23,9,57,100,FALSE,TRUE,1.710000038,2.890000105,24
32,0,79,100,FALSE,TRUE,3.809999943,3.430000067,29
30,2,86,100,FALSE,TRUE,3.950000048,3.809999943,31
29,3,79,100,FALSE,TRUE,3.579999924,3.390000105,27
24,8,65,75,FALSE,TRUE,3.369999886,2.950000048,26
21,11,60,62.5,TRUE,FALSE,0.791999996,1.649999976,23
32,0,83,100,FALSE,TRUE,3.680000067,3.599999905,23
27,5,54,87.5,FALSE,TRUE,1.669999957,2.190000057,13
32,0,70,100,FALSE,TRUE,3.430000067,3.289999962,20
31,1,71,87.5,FALSE,TRUE,2.410000086,2.480000019,27
26,6,64,100,TRUE,FALSE,2.380000114,2.430000067,23
25,7,61,75,FALSE,TRUE,3.039999962,3.170000076,24
31,1,77,100,FALSE,FALSE,2.789999962,3.130000114,25
24,8,63,100,TRUE,FALSE,1.789999962,1.74000001,24
25,7,58,62.5,TRUE,FALSE,2.390000105,2.420000076,28
27,5,64,100,FALSE,TRUE,2.690000057,2.160000086,23
29,3,69,100,FALSE,TRUE,1.769999981,1.940000057,20
24,8,60,100,TRUE,FALSE,2.25,2.059999943,24
26,6,68,100,FALSE,TRUE,3.460000038,3.539999962,27
26,6,59,75,FALSE,FALSE,2.329999924,2.200000048,14
27,5,66,87.5,FALSE,FALSE,2.299999952,1.980000019,22
30,2,71,100,FALSE,TRUE,2.960000038,2.339999914,24
23,9,52,100,FALSE,TRUE,2,2.150000095,19
30,2,73,87.5,TRUE,FALSE,2.5,2.210000038,16
30,2,71,100,FALSE,TRUE,2.769999981,2.529999971,24
29,3,58,75,TRUE,FALSE,1.960000038,2.559999943,23
28,4,71,100,FALSE,TRUE,3.640000105,3.690000057,26
26,6,64,100,FALSE,FALSE,2.75,3.099999905,24
31,1,73,100,FALSE,TRUE,2.789999962,2.569999933,19
27,5,62,100,TRUE,FALSE,2.5,2.369999886,23
26,6,69,100,FALSE,TRUE,2,2.119999886,22
29,3,82,100,FALSE,FALSE,4,3.700000048,24
31,1,70,100,FALSE,TRUE,3,2.890000105,20
27,5,68,100,FALSE,FALSE,3.630000114,2.180000067,23
28,4,73,87.5,FALSE,TRUE,2.460000038,2.74000001,21
31,1,68,100,FALSE,TRUE,3.140000105,3.319999933,23
26,6,65,87.5,FALSE,TRUE,2.650000095,2.650000095,22
30,2,85,87.5,FALSE,TRUE,3.710000038,3.5,28
30,2,64,75,FALSE,TRUE,1.789999962,2.440000057,20
32,0,73,87.5,TRUE,FALSE,3.190000057,3.130000114,17
25,7,59,100,FALSE,TRUE,2.630000114,2.839999914,25
14,18,63,50,FALSE,FALSE,1.169999957,1.840000033,19
30,2,73,87.5,FALSE,TRUE,3.5,2.980000019,26
31,1,74,87.5,FALSE,TRUE,3.269999981,3.049999952,22
29,3,64,100,TRUE,FALSE,2.430000067,1.340000033,18
25,7,58,100,FALSE,TRUE,1,2.309999943,18
28,4,61,87.5,FALSE,FALSE,2.5,2.25,19
16,16,57,75,FALSE,TRUE,2.75,2.059999943,20
26,6,66,100,FALSE,TRUE,3.150000095,2.950000048,18
27,5,60,75,FALSE,TRUE,2.630000114,2.140000105,20
31,1,73,100,FALSE,FALSE,3.180000067,2.480000019,21
25,7,57,100,FALSE,TRUE,2.329999924,2.390000105,23
24,8,63,75,FALSE,FALSE,1.75,2.519999981,28
28,4,73,100,FALSE,TRUE,2.5,0.856999993,18
10,22,68,25,FALSE,TRUE,1.529999971,2.019999981,28
29,3,66,100,TRUE,FALSE,2.730000019,2.299999952,16
24,8,72,100,TRUE,FALSE,3.190000057,2.619999886,19
15,17,57,37.5,FALSE,TRUE,0.600000024,1.669999957,24
25,7,61,100,FALSE,FALSE,0.625,2.220000029,23
27,5,59,62.5,FALSE,TRUE,2.230000019,1.960000038,20
28,4,70,100,TRUE,FALSE,2.960000038,2.75999999,23
25,7,65,62.5,FALSE,TRUE,2.589999914,2.920000076,24
28,4,68,100,TRUE,FALSE,2.690000057,2.5,25
28,4,74,87.5,TRUE,FALSE,2.680000067,1.669999957,22
23,9,54,75,FALSE,FALSE,2.329999924,2.609999895,24
29,3,65,62.5,TRUE,FALSE,2.710000038,2.519999981,21
3,29,59,87.5,FALSE,TRUE,2.079999924,1.850000024,22
17,15,59,75,FALSE,TRUE,2,2.640000105,24
32,0,73,100,TRUE,FALSE,2.549999952,2.569999933,15
16,16,64,12.5,FALSE,TRUE,2.200000048,2,22
23,9,61,87.5,FALSE,TRUE,3.349999905,3.5,28
22,10,56,75,FALSE,TRUE,3.880000114,3.880000114,28
10,22,60,50,FALSE,TRUE,0.625,2.00999999,22
27,5,61,100,FALSE,TRUE,3.210000038,3.24000001,27
29,3,72,100,FALSE,FALSE,3.460000038,3.49000001,27
17,15,58,62.5,FALSE,FALSE,2.630000114,1.350000024,26
28,4,64,100,FALSE,FALSE,3.039999962,2.680000067,25
21,11,68,75,TRUE,FALSE,2.849999905,2.190000057,24
30,2,58,100,FALSE,TRUE,3.380000114,3,21
15,17,63,25,FALSE,TRUE,1.25,1.75,27
19,13,70,75,TRUE,FALSE,3.119999886,1.600000024,20
18,14,66,37.5,FALSE,TRUE,2.430000067,2.599999905,16
23,9,63,75,TRUE,FALSE,2.859999895,2.170000076,23
31,1,70,87.5,TRUE,FALSE,3.109999895,2.74000001,19
31,1,67,100,FALSE,TRUE,2.380000114,2.299999952,17
30,2,71,100,FALSE,TRUE,2.650000095,2.569999933,18
29,3,68,87.5,TRUE,FALSE,2.25,2.279999971,15
28,4,68,50,TRUE,FALSE,3.5,3.650000095,20
28,4,67,100,FALSE,FALSE,3.039999962,2.940000057,19
30,2,83,100,FALSE,TRUE,3.5,3.279999971,28
26,6,61,87.5,FALSE,FALSE,2.5,2.859999895,22
28,4,75,100,TRUE,FALSE,3.460000038,2,20
18,14,61,62.5,FALSE,TRUE,2.150000095,2.190000057,22
29,3,60,100,FALSE,TRUE,2.650000095,2.269999981,25
31,1,80,100,TRUE,FALSE,3.150000095,3.019999981,18
15,17,54,87.5,FALSE,TRUE,1.620000005,2.079999924,26
28,4,62,100,TRUE,FALSE,2.309999943,2.420000076,18
20,12,60,75,FALSE,TRUE,2.390000105,2.609999895,19
27,5,63,87.5,TRUE,FALSE,3.420000076,3.130000114,25
29,3,66,100,FALSE,TRUE,3.339999914,3.420000076,22
9,23,61,37.5,FALSE,TRUE,1.429999948,2.029999971,28
28,4,64,87.5,FALSE,TRUE,2.049999952,2.589999914,22
27,5,67,37.5,FALSE,TRUE,2.930000067,2.029999971,24
20,12,64,62.5,FALSE,TRUE,1.830000043,2.529999971,27
28,4,65,100,FALSE,TRUE,2.900000095,2.430000067,21
25,7,59,100,TRUE,FALSE,2.25,2.200000048,19
28,4,66,100,TRUE,FALSE,2.039999962,2.470000029,22
25,7,58,100,FALSE,TRUE,2.299999952,2.039999962,19
20,12,64,87.5,TRUE,FALSE,2.470000029,2.059999943,20
24,8,70,100,FALSE,TRUE,2.769999981,2.829999924,24
25,7,60,100,FALSE,TRUE,1.889999986,2.799999952,23
29,3,78,87.5,FALSE,TRUE,3.410000086,2.980000019,27
25,7,58,62.5,FALSE,TRUE,2.289999962,2.359999895,18
26,6,70,100,FALSE,TRUE,3.25,2.150000095,27
31,1,65,100,TRUE,FALSE,2.940000057,2.400000095,22
32,0,73,100,FALSE,TRUE,3.210000038,3.019999981,27
31,1,71,100,FALSE,TRUE,3.769999981,3.529999971,23
27,5,64,100,FALSE,TRUE,2.970000029,3.099999905,24
28,4,67,100,FALSE,FALSE,2.880000114,2.970000029,24
30,2,69,100,FALSE,TRUE,2.5,2.430000067,22
28,4,60,100,FALSE,TRUE,3.140000105,2.019999981,20
32,0,82,100,FALSE,TRUE,3.730000019,3.220000029,28
29,3,63,75,FALSE,FALSE,2,2.910000086,23
17,15,57,62.5,FALSE,TRUE,1.320000052,1.480000019,23
31,1,74,100,FALSE,TRUE,3.25,3.5,25
15,17,67,75,FALSE,FALSE,3.049999952,2.440000057,24
31,1,77,100,FALSE,TRUE,4,3.700000048,25
31,1,73,100,TRUE,FALSE,3.359999895,2.619999886,27
23,9,67,100,TRUE,FALSE,3.359999895,1.830000043,17
5,27,59,12.5,TRUE,FALSE,0.666999996,1.600000024,26
25,7,64,25,FALSE,FALSE,1.629999995,2.00999999,20
27,5,50,25,FALSE,TRUE,2.859999895,3.130000114,21
22,10,61,100,FALSE,FALSE,3.420000076,2.50999999,23
30,2,73,100,FALSE,FALSE,2.430000067,1.929999948,20
31,1,80,100,FALSE,TRUE,3.700000048,3.410000086,28
26,6,65,87.5,TRUE,FALSE,2.150000095,1.929999948,16
31,1,68,100,FALSE,TRUE,2.109999895,1.960000038,24
28,4,71,100,FALSE,FALSE,2.960000038,2.799999952,23
29,3,68,100,FALSE,TRUE,2.210000038,2.279999971,18
5,27,61,50,FALSE,TRUE,1.769999981,1.909999967,27
32,0,83,100,FALSE,TRUE,2.769999981,2.289999962,25
32,2,70,75,FALSE,TRUE,2.849999905,3.349999905,20
28,4,62,100,FALSE,TRUE,2.329999924,2.359999895,18
29,3,66,100,FALSE,TRUE,2.960000038,2.799999952,16
30,2,75,100,FALSE,TRUE,3.799999952,3.109999895,24
24,8,65,100,FALSE,FALSE,2.25999999,2.039999962,25
24,8,68,100,FALSE,TRUE,3.25,3.569999933,29
28,4,63,100,FALSE,TRUE,2.150000095,2,20
18,14,73,87.5,FALSE,TRUE,2.170000076,2.25,25
25,7,62,100,FALSE,TRUE,2.789999962,3.480000019,26
32,0,78,100,FALSE,TRUE,4,3.809999943,25
31,1,80,100,FALSE,TRUE,3.769999981,3.779999971,25
29,3,68,87.5,FALSE,TRUE,2.5,2.710000038,23
28,4,65,87.5,TRUE,FALSE,3.079999924,2.170000076,21
29,3,70,100,FALSE,FALSE,3.119999886,2.410000086,23
30,2,87,100,FALSE,TRUE,4,3.920000076,29
26,6,65,100,FALSE,TRUE,2.039999962,2.75,19
21,11,61,87.5,FALSE,TRUE,1.5,2.390000105,19
31,1,64,100,FALSE,TRUE,2.799999952,2.920000076,20
31,1,78,100,TRUE,FALSE,3.039999962,3.289999962,19
29,3,69,100,FALSE,TRUE,3.160000086,3.25,23
28,4,69,100,TRUE,FALSE,3.180000067,2.75999999,25
28,4,64,100,FALSE,TRUE,1.960000038,2.480000019,20
29,3,79,100,FALSE,TRUE,3.799999952,3.359999895,29
18,14,69,37.5,FALSE,TRUE,3.109999895,3.329999924,27
29,3,76,100,FALSE,TRUE,3.230000019,2.930000067,26
29,3,65,100,FALSE,TRUE,2.900000095,3.089999914,24
32,0,87,100,FALSE,TRUE,3.069999933,2.420000076,25
29,3,70,100,FALSE,TRUE,3.309999943,3.269999981,26
28,4,59,87.5,FALSE,TRUE,2.130000114,2.029999971,22
32,0,67,100,FALSE,TRUE,2.789999962,2.75,24
32,0,73,100,FALSE,TRUE,3.559999943,3.519999981,23
27,5,66,87.5,TRUE,FALSE,2.319999933,2.349999905,21
29,3,84,62.5,FALSE,TRUE,2.5,2.75999999,25
19,13,62,75,FALSE,TRUE,1.789999962,1.820000052,20
32,0,74,100,FALSE,FALSE,3.539999962,3.319999933,23
30,2,72,100,FALSE,TRUE,2.309999943,2.359999895,19
31,1,69,100,FALSE,TRUE,2.890000105,2.809999943,25
30,2,72,100,FALSE,FALSE,1.799999952,2.609999895,20
26,6,60,87.5,FALSE,FALSE,2.5,2.099999905,17
32,0,65,100,TRUE,FALSE,2.900000095,2.700000048,21
30,2,76,100,FALSE,FALSE,1.5,2.430000067,18
31,1,71,100,FALSE,TRUE,3.049999952,2.900000095,25
21,11,57,87.5,FALSE,TRUE,2.359999895,2.200000048,19
27,5,58,100,FALSE,TRUE,0.691999972,1.74000001,21
27,5,70,100,FALSE,TRUE,3.700000048,3.309999943,24
31,1,68,100,FALSE,TRUE,3,2.980000019,18
10,22,71,37.5,FALSE,TRUE,2.5,2.25,31
28,4,70,100,FALSE,TRUE,3.079999924,2.589999914,19
16,16,64,87.5,FALSE,TRUE,2.529999971,2.890000105,32
26,6,62,75,TRUE,FALSE,1.789999962,2.730000019,27
18,14,61,100,TRUE,FALSE,2.670000076,2.630000114,24
27,5,65,100,TRUE,FALSE,3.309999943,2.190000057,27
27,5,68,100,TRUE,FALSE,3,1.909999967,23
26,6,74,100,TRUE,FALSE,3.619999886,3.279999971,29
32,2,66,87.5,TRUE,FALSE,2.609999895,2.019999981,25
32,0,82,87.5,FALSE,TRUE,2.960000038,2.700000048,24
24,8,59,100,FALSE,TRUE,2.730000019,1.960000038,22
26,6,69,100,FALSE,TRUE,3.539999962,3.369999886,25
28,4,57,87.5,TRUE,FALSE,2.329999924,2.420000076,19
26,6,74,100,FALSE,FALSE,3.880000114,3.079999924,27
25,7,62,100,FALSE,FALSE,3.410000086,2.920000076,23
